map_id,world_size_x,world_size_y,world_area,bbox_width,bbox_height,useful_area,useful_area_ratio,n_nodes,n_edges,total_road_length_m,road_density,avg_edge_length_m,median_edge_length_m,avg_degree,max_degree,dead_end_ratio,intersection_ratio,n_components,largest_component_ratio,bridge_edges_count,bridge_edges_ratio,articulation_points_count,articulation_points_ratio,graph_diameter_approx,avg_shortest_path_approx,circuity_approx,orientation_entropy,gridness_score,corridor_score,radial_score,partition_score,community_score,tree_like_score
v2_osm_cambridge_haggle_exact_500m_0m_0000,-0.738043120864475,-0.5995707154155961,-0.44652410141398224,-0.7381872450182181,-0.5998883184292654,-0.4426552151960519,-0.12106860882464868,-0.27250345596705156,-0.27969667982284535,-0.3533381313263248,0.13047992166391328,-0.4515590762089682,-0.41478120743503677,-0.3793985369079732,-0.38088833624790264,0.29776405556118357,-0.572920284505063,-0.2584113635525427,0.26360440502829996,-0.17951615774080895,0.48561064919196906,-0.18547413186499803,0.9031647596776465,-0.7066635752067075,-0.6974720164011325,0.07309965914476625,0.7801247985789076,-0.23983437815980635,-0.15199446928680468,0.43634829521046886,-0.3002837810276204,0.45468154077983075,0.6607366717215146
v2_osm_cambridge_haggle_exact_500m_0m_0085,-0.738043120864475,-0.5995707154155961,-0.44652410141398224,-0.7381872450182181,-0.5998883184292654,-0.4426552151960519,-0.12106860882464868,-0.27250345596705156,-0.27969667982284535,-0.3533381313263248,0.13047992166391328,-0.4515590762089682,-0.41478120743503677,-0.3793985369079732,-0.38088833624790264,0.29776405556118357,-0.572920284505063,-0.2584113635525427,0.26360440502829996,-0.17951615774080895,0.48561064919196906,-0.18547413186499803,0.9031647596776465,-0.7066635752067075,-0.6414220700262735,-0.07411845558249856,0.7801247985789076,-0.23983437815980635,-0.15199446928680468,0.43634829521046886,-0.3002837810276204,0.45468154077983075,0.6607366717215146
v2_osm_cambridge_haggle_exact_500m_0m_0170,-0.738043120864475,-0.5995707154155961,-0.44652410141398224,-0.7381872450182181,-0.5998883184292654,-0.4426552151960519,-0.12106860882464868,-0.27250345596705156,-0.27969667982284535,-0.3533381313263248,0.13047992166391328,-0.4515590762089682,-0.41478120743503677,-0.3793985369079732,-0.38088833624790264,0.29776405556118357,-0.572920284505063,-0.2584113635525427,0.26360440502829996,-0.17951615774080895,0.48561064919196906,-0.18547413186499803,0.9031647596776465,-0.7066635752067075,-0.6223214296522521,0.20380292125839566,0.7801247985789076,-0.23983437815980635,-0.15199446928680468,0.43634829521046886,-0.3002837810276204,0.45468154077983075,0.6607366717215146
v2_osm_cambridge_haggle_exact_500m_0m_0255,-0.738043120864475,-0.5995707154155961,-0.44652410141398224,-0.7381872450182181,-0.5998883184292654,-0.4426552151960519,-0.12106860882464868,-0.27250345596705156,-0.27969667982284535,-0.3533381313263248,0.13047992166391328,-0.4515590762089682,-0.41478120743503677,-0.3793985369079732,-0.38088833624790264,0.29776405556118357,-0.572920284505063,-0.2584113635525427,0.26360440502829996,-0.17951615774080895,0.48561064919196906,-0.18547413186499803,0.9031647596776465,-0.7066635752067075,-0.6439982488330217,0.09433304107658343,0.7801247985789076,-0.23983437815980635,-0.15199446928680468,0.43634829521046886,-0.3002837810276204,0.45468154077983075,0.6607366717215146
v2_osm_cambridge_haggle_exact_500m_0m_0340,-0.738043120864475,-0.5995707154155961,-0.44652410141398224,-0.7381872450182181,-0.5998883184292654,-0.4426552151960519,-0.12106860882464868,-0.27250345596705156,-0.27969667982284535,-0.3533381313263248,0.13047992166391328,-0.4515590762089682,-0.41478120743503677,-0.3793985369079732,-0.38088833624790264,0.29776405556118357,-0.572920284505063,-0.2584113635525427,0.26360440502829996,-0.17951615774080895,0.48561064919196906,-0.18547413186499803,0.9031647596776465,-0.7066635752067075,-0.6741419485157208,0.15740404962961044,0.7801247985789076,-0.23983437815980635,-0.15199446928680468,0.43634829521046886,-0.3002837810276204,0.45468154077983075,0.6607366717215146
v2_osm_cambridge_haggle_exact_500m_0m_0425,-0.738043120864475,-0.5995707154155961,-0.44652410141398224,-0.7381872450182181,-0.5998883184292654,-0.4426552151960519,-0.12106860882464868,-0.27250345596705156,-0.27969667982284535,-0.3533381313263248,0.13047992166391328,-0.4515590762089682,-0.41478120743503677,-0.3793985369079732,-0.38088833624790264,0.29776405556118357,-0.572920284505063,-0.2584113635525427,0.26360440502829996,-0.17951615774080895,0.48561064919196906,-0.18547413186499803,0.9031647596776465,-0.7066635752067075,-0.667119654260566,0.1841423824326392,0.7801247985789076,-0.23983437815980635,-0.15199446928680468,0.43634829521046886,-0.3002837810276204,0.45468154077983075,0.6607366717215146
v2_osm_cambridge_haggle_exact_500m_0m_0510,-0.738043120864475,-0.5995707154155961,-0.44652410141398224,-0.7381872450182181,-0.5998883184292654,-0.4426552151960519,-0.12106860882464868,-0.27250345596705156,-0.27969667982284535,-0.3533381313263248,0.13047992166391328,-0.4515590762089682,-0.41478120743503677,-0.3793985369079732,-0.38088833624790264,0.29776405556118357,-0.572920284505063,-0.2584113635525427,0.26360440502829996,-0.17951615774080895,0.48561064919196906,-0.18547413186499803,0.9031647596776465,-0.7066635752067075,-0.6594553216735112,-0.014664986173411053,0.7801247985789076,-0.23983437815980635,-0.15199446928680468,0.43634829521046886,-0.3002837810276204,0.45468154077983075,0.6607366717215146
v2_osm_cambridge_haggle_exact_500m_0m_0595,-0.738043120864475,-0.5995707154155961,-0.44652410141398224,-0.7381872450182181,-0.5998883184292654,-0.4426552151960519,-0.12106860882464868,-0.27250345596705156,-0.27969667982284535,-0.3533381313263248,0.13047992166391328,-0.4515590762089682,-0.41478120743503677,-0.3793985369079732,-0.38088833624790264,0.29776405556118357,-0.572920284505063,-0.2584113635525427,0.26360440502829996,-0.17951615774080895,0.48561064919196906,-0.18547413186499803,0.9031647596776465,-0.7066635752067075,-0.6574409264071753,0.19279301951597216,0.7801247985789076,-0.23983437815980635,-0.15199446928680468,0.43634829521046886,-0.3002837810276204,0.45468154077983075,0.6607366717215146
v2_osm_cambridge_haggle_exact_500m_0m_0680,-0.738043120864475,-0.5995707154155961,-0.44652410141398224,-0.7381872450182181,-0.5998883184292654,-0.4426552151960519,-0.12106860882464868,-0.27250345596705156,-0.27969667982284535,-0.3533381313263248,0.13047992166391328,-0.4515590762089682,-0.41478120743503677,-0.3793985369079732,-0.38088833624790264,0.29776405556118357,-0.572920284505063,-0.2584113635525427,0.26360440502829996,-0.17951615774080895,0.48561064919196906,-0.18547413186499803,0.9031647596776465,-0.7066635752067075,-0.6335811768979462,0.019151140606890313,0.7801247985789076,-0.23983437815980635,-0.15199446928680468,0.43634829521046886,-0.3002837810276204,0.45468154077983075,0.6607366717215146
v2_osm_cambridge_haggle_exact_500m_0m_0765,-0.738043120864475,-0.5995707154155961,-0.44652410141398224,-0.7381872450182181,-0.5998883184292654,-0.4426552151960519,-0.12106860882464868,-0.27250345596705156,-0.27969667982284535,-0.3533381313263248,0.13047992166391328,-0.4515590762089682,-0.41478120743503677,-0.3793985369079732,-0.38088833624790264,0.29776405556118357,-0.572920284505063,-0.2584113635525427,0.26360440502829996,-0.17951615774080895,0.48561064919196906,-0.18547413186499803,0.9031647596776465,-0.7066635752067075,-0.6706990179609078,-0.037471211211288574,0.7801247985789076,-0.23983437815980635,-0.15199446928680468,0.43634829521046886,-0.3002837810276204,0.45468154077983075,0.6607366717215146
