map_id,batch_target,source_type,anchor_id,archetype,generator_type,world_size_x,world_size_y,world_area,bbox_width,bbox_height,useful_area,useful_area_ratio,n_nodes,n_edges,total_road_length_m,road_density,avg_edge_length_m,median_edge_length_m,avg_degree,max_degree,dead_end_ratio,intersection_ratio,n_components,largest_component_ratio,bridge_edges_count,bridge_edges_ratio,articulation_points_count,articulation_points_ratio,graph_diameter_approx,avg_shortest_path_approx,circuity_approx,orientation_entropy,gridness_score,corridor_score,radial_score,partition_score,community_score,tree_like_score,supports_map_based,supports_route_movement_candidate,supports_cluster_overlay,supports_wdm_candidate,supports_bus_route_candidate,validation_status,feature_omissions,sampling_seed
v2_osm_cambridge_haggle_exact_500m_0m_seed,100,osm,cambridge_haggle,dense_urban_irregular,,558,550,306900.0,507.38,499.07,253216.19,0.8250771961855261,766,827,15397.7,0.002694688823721082,10.1035,6.1094,2.1593,5,0.1423,0.2768,1,1.0,304,0.367594,269,0.351175,1221.65,368.51,1.5601,4.9776,0.4436,1.3014,0.6374,0.0,0.9008,0.5283,yes,yes,partial,yes,no,PASS,,1137126181
v2_osm_cambridge_haggle_offset_e_1500m_1000m_0102,200,osm,cambridge_haggle,dense_urban_irregular,,1573,1555,2446015.0,1522.58,1504.12,2290148.9,0.9362775354257955,4515,5122,142912.99,0.0020940182296510855,14.8976,8.3748,2.2689,6,0.08,0.2919,1,1.0,1006,0.196408,947,0.209745,5100.78,1107.67,1.3885,5.1367,0.3439,1.538,0.5657,0.0,0.9336,0.4759,yes,yes,partial,yes,no,PASS,,1943892084
v2_osm_cambridge_haggle_offset_e_1500m_1000m_0442,600,osm,cambridge_haggle,dense_urban_irregular,,1573,1555,2446015.0,1522.58,1504.12,2290148.9,0.9362775354257955,4515,5122,142912.99,0.0020940182296510855,14.8976,8.3748,2.2689,6,0.08,0.2919,1,1.0,1006,0.196408,947,0.209745,5100.78,1108.15,1.3619,5.1367,0.3439,1.538,0.5657,0.0,0.9336,0.4759,yes,yes,partial,yes,no,PASS,,4152983984
v2_osm_cambridge_haggle_offset_e_1500m_1000m_0782,1000,osm,cambridge_haggle,dense_urban_irregular,,1573,1555,2446015.0,1522.58,1504.12,2290148.9,0.9362775354257955,4515,5122,142912.99,0.0020940182296510855,14.8976,8.3748,2.2689,6,0.08,0.2919,1,1.0,1006,0.196408,947,0.209745,5100.78,992.41,1.3861,5.1367,0.3439,1.538,0.5657,0.0,0.9336,0.4759,yes,yes,partial,yes,no,PASS,,1574588213
v2_osm_cambridge_haggle_offset_e_1500m_1500m_0187,400,osm,cambridge_haggle,dense_urban_irregular,,1566,1563,2447658.0,1515.3,1512.77,2292294.88,0.9365258058516199,4398,5011,138856.42,0.0020472631388862334,14.8319,8.6621,2.2788,6,0.0784,0.2979,1,1.0,901,0.179804,841,0.191223,4716.66,1016.89,1.4248,5.0719,0.3119,1.106,0.6007,0.0,0.9367,0.4732,yes,yes,partial,yes,no,PASS,,3865400756
v2_osm_cambridge_haggle_offset_e_1500m_1500m_0527,600,osm,cambridge_haggle,dense_urban_irregular,,1566,1563,2447658.0,1515.3,1512.77,2292294.88,0.9365258058516199,4398,5011,138856.42,0.0020472631388862334,14.8319,8.6621,2.2788,6,0.0784,0.2979,1,1.0,901,0.179804,841,0.191223,4716.66,1177.07,1.6194,5.0719,0.3119,1.106,0.6007,0.0,0.9367,0.4732,yes,yes,partial,yes,no,PASS,,2419291872
v2_osm_cambridge_haggle_offset_e_1500m_1500m_0867,1000,osm,cambridge_haggle,dense_urban_irregular,,1566,1563,2447658.0,1515.3,1512.77,2292294.88,0.9365258058516199,4398,5011,138856.42,0.0020472631388862334,14.8319,8.6621,2.2788,6,0.0784,0.2979,1,1.0,901,0.179804,841,0.191223,4716.66,1129.6,1.4886,5.0719,0.3119,1.106,0.6007,0.0,0.9367,0.4732,yes,yes,partial,yes,no,PASS,,3761175758
v2_osm_cambridge_haggle_offset_e_1500m_200m_0272,400,osm,cambridge_haggle,dense_urban_irregular,,1601,1580,2529580.0,1550.63,1529.18,2371185.4,0.937383042779699,4687,5181,136671.5,0.0020481660987199455,13.7538,7.65,2.2108,6,0.115,0.2818,1,1.0,1403,0.270797,1276,0.272242,3762.56,906.92,1.5398,5.115,0.3323,1.1891,0.5649,0.0,0.9429,0.5042,yes,yes,partial,yes,no,PASS,,954715346
v2_osm_cambridge_haggle_offset_e_1500m_200m_0612,800,osm,cambridge_haggle,dense_urban_irregular,,1601,1580,2529580.0,1550.63,1529.18,2371185.4,0.937383042779699,4687,5181,136671.5,0.0020481660987199455,13.7538,7.65,2.2108,6,0.115,0.2818,1,1.0,1403,0.270797,1276,0.272242,3762.56,945.62,1.3882,5.115,0.3323,1.1891,0.5649,0.0,0.9429,0.5042,yes,yes,partial,yes,no,PASS,,2997335370
v2_osm_cambridge_haggle_offset_e_1500m_500m_0017,100,osm,cambridge_haggle,dense_urban_irregular,,1587,1591,2524917.0,1536.64,1540.19,2366713.9,0.9373432476897289,5134,5739,146018.64,0.0022729460017893656,13.4977,7.6878,2.2357,6,0.0989,0.2871,1,1.0,1342,0.233839,1245,0.242501,4528.98,1020.35,1.3517,5.123,0.3404,1.7621,0.6527,0.0,0.9385,0.4915,yes,yes,partial,yes,no,PASS,,2654621717
