feature,mean,std
world_size_x,1944.0806451612902,1878.0483226207223
world_size_y,1641.72311827957,1820.8412956307168
world_area,6140824.63172043,13065195.390901579
bbox_width,1893.7279623655913,1878.0437778105702
bbox_height,1591.3397795698927,1820.7885468246297
useful_area,5962644.1226290325,12898137.730288183
useful_area_ratio,0.8446612678063858,0.16176011115502767
n_nodes,4374.039784946237,13240.345052293522
n_edges,5145.724193548387,15440.74172165285
total_road_length_m,141326.08000000002,356396.2358868624
road_density,0.0020443457526184237,0.004984238669132518
avg_edge_length_m,102.72630682795699,205.117805638113
median_edge_length_m,93.94306225806451,211.7590206200966
avg_degree,4.482704247311828,6.123914620881609
max_degree,8.046236559139786,7.9977155224756755
dead_end_ratio,0.09233618279569891,0.16779667079069152
intersection_ratio,0.48301026881720427,0.35992837816057804
n_components,1.260215053763441,1.0069799183213222
largest_component_ratio,0.9562067204301075,0.1661325787222372
bridge_edges_count,701.3924731182796,2213.686378537843
bridge_edges_ratio,0.21446138870967743,0.31534030718874734
articulation_points_count,654.5537634408602,2078.74682881112
articulation_points_ratio,0.168934561827957,0.20177983719945788
graph_diameter_approx,4637.440112903226,4833.686400072434
avg_shortest_path_approx,1196.8021182795699,1246.0315221876172
circuity_approx,1.526423870967742,0.6357913234618074
orientation_entropy,3.7290197311827957,1.6004878592395027
gridness_score,0.5110850537634408,0.2813819031334791
corridor_score,89.72150102150538,581.7323580021969
radial_score,0.5934934946236559,0.10062261239078792
partition_score,0.08153930107526881,0.2715408098173932
community_score,0.8384417741935484,0.1371470363619781
tree_like_score,0.4001429569892473,0.19396084475960185
