planned_map_id,archetype,source_type,anchor_id,trace_id,generator_type,seed,builder,input_reference,output_directory,config_hash,enabled,skip_reason,generator_parameters,extracted_parameters,parameter_extractor,trace_support,window_size_m,variant_type,offset_m,network_type,batch_target
v2_osm_mit_campus_reality_exact_500m_0m_seed,campus_compact,osm,mit_campus_reality,,,334407003,osm,osm_anchor:mit_campus_reality,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_osm_mit_campus_reality_exact_500m_0m_seed,2150301fb651c754,True,,"{""_allow_partitioned"":false,""anchor_distance_m"":0.0,""anchor_label"":""MIT Campus (Reality Mining)"",""center_lat"":42.36,""center_lon"":-71.09,""crs"":""EPSG:32619"",""height_m"":500,""osm_network_type"":""all"",""variant_type"":""exact"",""width_m"":500,""window_size_m"":500.0}",,,dartmouth_wardriving_20060602,500,exact,0,all,100
v2_osm_nuuksio_sparse_trails_exact_500m_0m_seed,sparse_trails,osm,nuuksio_sparse_trails,,,62372694,osm,osm_anchor:nuuksio_sparse_trails,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_osm_nuuksio_sparse_trails_exact_500m_0m_seed,2150301fb651c754,True,,"{""_allow_partitioned"":false,""anchor_distance_m"":0.0,""anchor_label"":""Nuuksio Sparse Trails"",""center_lat"":60.3225,""center_lon"":24.5125,""crs"":""EPSG:3067"",""height_m"":500,""osm_network_type"":""all"",""variant_type"":""exact"",""width_m"":500,""window_size_m"":500.0}",,,,500,exact,0,all,100
v2_osm_rio_centro_buses_exact_500m_0m_seed,bus_route_urban_suburban,osm,rio_centro_buses,,,666620828,osm,osm_anchor:rio_centro_buses,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_osm_rio_centro_buses_exact_500m_0m_seed,2150301fb651c754,True,,"{""_allow_partitioned"":false,""anchor_distance_m"":0.0,""anchor_label"":""Rio de Janeiro central bus corridor"",""center_lat"":-22.9,""center_lon"":-43.23,""crs"":""EPSG:32723"",""height_m"":500,""osm_network_type"":""drive"",""variant_type"":""exact"",""width_m"":500,""window_size_m"":500.0}",,,coppe_ufrj_riobuses_20180319,500,exact,0,drive,100
v2_osm_roma_centro_exact_500m_0m_seed,dense_urban_irregular,osm,roma_centro,,,2465391277,osm,osm_anchor:roma_centro,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_osm_roma_centro_exact_500m_0m_seed,2150301fb651c754,True,,"{""_allow_partitioned"":false,""anchor_distance_m"":0.0,""anchor_label"":""Rome historic centre (taxi GPS)"",""center_lat"":41.895,""center_lon"":12.49,""crs"":""EPSG:32633"",""height_m"":500,""osm_network_type"":""drive"",""variant_type"":""exact"",""width_m"":500,""window_size_m"":500.0}",,,roma_taxi_20140717,500,exact,0,drive,100
v2_osm_sf_cabspotting_downtown_exact_500m_0m_seed,dense_urban_irregular,osm,sf_cabspotting_downtown,,,2430500059,osm,osm_anchor:sf_cabspotting_downtown,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_osm_sf_cabspotting_downtown_exact_500m_0m_seed,2150301fb651c754,True,,"{""_allow_partitioned"":false,""anchor_distance_m"":0.0,""anchor_label"":""San Francisco Downtown (Cabspotting)"",""center_lat"":37.785,""center_lon"":-122.41,""crs"":""EPSG:32610"",""height_m"":500,""osm_network_type"":""drive"",""variant_type"":""exact"",""width_m"":500,""window_size_m"":500.0}",,,epfl_mobility_20090224,500,exact,0,drive,100
v2_osm_sf_mission_corridor_exact_500m_0m_seed,corridor_linear,osm,sf_mission_corridor,,,2093221319,osm,osm_anchor:sf_mission_corridor,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_osm_sf_mission_corridor_exact_500m_0m_seed,2150301fb651c754,True,,"{""_allow_partitioned"":false,""anchor_distance_m"":0.0,""anchor_label"":""San Francisco Mission Corridor"",""center_lat"":37.758,""center_lon"":-122.415,""crs"":""EPSG:32610"",""height_m"":500,""osm_network_type"":""drive"",""variant_type"":""exact"",""width_m"":500,""window_size_m"":500.0}",,,,500,exact,0,drive,100
v2_osm_tampere_suburban_exact_500m_0m_seed,suburban_low_density,osm,tampere_suburban,,,1610666035,osm,osm_anchor:tampere_suburban,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_osm_tampere_suburban_exact_500m_0m_seed,2150301fb651c754,True,,"{""_allow_partitioned"":false,""anchor_distance_m"":0.0,""anchor_label"":""Tampere suburban low density"",""center_lat"":61.475,""center_lon"":23.75,""crs"":""EPSG:3067"",""height_m"":500,""osm_network_type"":""drive"",""variant_type"":""exact"",""width_m"":500,""window_size_m"":500.0}",,,,500,exact,0,drive,100
v2_syn_bus_route_corridor_seed,bus_route_urban_suburban,synthetic,,,bus_route_corridor,1388015115,synthetic,generator:bus_route_corridor,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_syn_bus_route_corridor_seed,2150301fb651c754,True,,"{""corridor_length_m"":2000,""corridor_width_m"":200,""feeder_branch_prob"":0.0,""n_parallel_lanes"":1,""n_stops"":4}",,,,0,,0,,100
v2_syn_campus_compact_seed,campus_compact,synthetic,,,campus_compact,298017331,synthetic,generator:campus_compact,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_syn_campus_compact_seed,2150301fb651c754,True,,"{""building_spacing_m"":40,""n_buildings"":6,""path_density"":0.4,""quad_size_m"":200,""ring_roads"":1}",,,,0,,0,,100
v2_syn_clustered_communities_seed,clustered_communities,synthetic,,,clustered_communities,1737322044,synthetic,generator:clustered_communities,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_syn_clustered_communities_seed,2150301fb651c754,True,,"{""inter_bridge_count"":0,""inter_gap_m"":100,""intra_density"":0.5,""n_clusters"":3,""nodes_per_cluster"":8}",,,,0,,0,,100
