map_id,batch_target,source_type,anchor_id,anchor_label,archetype,generator_type,wkt_dir,roads_wkt,preview_png,metadata_json,world_size_x,world_size_y,crs,network_type,bbox_or_params,seed,generation_status,generation_notes
OSM_cambridge_haggle_offset_n_1000m_200m_0772,800,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_0800/wkt/map_0772,batch_0800/wkt/map_0772/roads.wkt,previews/OSM_cambridge_haggle_offset_n_1000m_200m_0772.png,batch_0800/wkt/map_0772/metadata.json,1069,1037,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":200.0,""center_lat"":52.206797,""center_lon"":0.12,""height_m"":1000,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":1000,""window_size_m"":1000.0}",3080429029,OK,
OSM_cambridge_haggle_offset_n_1000m_200m_1255,1600,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_1600/wkt/map_1255,,,batch_1600/wkt/map_1255/metadata.json,0,0,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":200.0,""center_lat"":52.206797,""center_lon"":0.12,""height_m"":1000,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":1000,""window_size_m"":1000.0}",2383344022,FAIL_DOWNLOAD_TRANSIENT,No module named 'osmnx'
OSM_cambridge_haggle_offset_n_1000m_200m_1745,2000,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_2000/wkt/map_1745,,,batch_2000/wkt/map_1745/metadata.json,0,0,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":200.0,""center_lat"":52.206797,""center_lon"":0.12,""height_m"":1000,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":1000,""window_size_m"":1000.0}",1727156784,FAIL_DOWNLOAD_TRANSIENT,No module named 'osmnx'
OSM_cambridge_haggle_offset_n_1000m_500m_0191,200,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_0200/wkt/map_0191,batch_0200/wkt/map_0191/roads.wkt,previews/OSM_cambridge_haggle_offset_n_1000m_500m_0191.png,batch_0200/wkt/map_0191/metadata.json,1064,1060,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":500.0,""center_lat"":52.209492,""center_lon"":0.12,""height_m"":1000,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":1000,""window_size_m"":1000.0}",3390416267,OK,
OSM_cambridge_haggle_offset_n_1000m_500m_0657,800,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_0800/wkt/map_0657,batch_0800/wkt/map_0657/roads.wkt,previews/OSM_cambridge_haggle_offset_n_1000m_500m_0657.png,batch_0800/wkt/map_0657/metadata.json,1064,1060,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":500.0,""center_lat"":52.209492,""center_lon"":0.12,""height_m"":1000,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":1000,""window_size_m"":1000.0}",757891634,OK,
OSM_cambridge_haggle_offset_n_1000m_500m_1125,1200,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_1200/wkt/map_1125,batch_1200/wkt/map_1125/roads.wkt,previews/OSM_cambridge_haggle_offset_n_1000m_500m_1125.png,batch_1200/wkt/map_1125/metadata.json,1064,1060,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":500.0,""center_lat"":52.209492,""center_lon"":0.12,""height_m"":1000,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":1000,""window_size_m"":1000.0}",3519082459,OK,
OSM_cambridge_haggle_offset_n_1000m_500m_1605,2000,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_2000/wkt/map_1605,,,batch_2000/wkt/map_1605/metadata.json,0,0,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":500.0,""center_lat"":52.209492,""center_lon"":0.12,""height_m"":1000,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":1000,""window_size_m"":1000.0}",3151691106,FAIL_DOWNLOAD_TRANSIENT,No module named 'osmnx'
OSM_cambridge_haggle_offset_n_1500m_1000m_0382,400,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_0400/wkt/map_0382,batch_0400/wkt/map_0382/roads.wkt,previews/OSM_cambridge_haggle_offset_n_1500m_1000m_0382.png,batch_0400/wkt/map_0382/metadata.json,1578,1592,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":1000.0,""center_lat"":52.213983,""center_lon"":0.12,""height_m"":1500,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":1500,""window_size_m"":1500.0}",3920874576,OK,
OSM_cambridge_haggle_offset_n_1500m_1000m_0869,1000,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_1000/wkt/map_0869,batch_1000/wkt/map_0869/roads.wkt,previews/OSM_cambridge_haggle_offset_n_1500m_1000m_0869.png,batch_1000/wkt/map_0869/metadata.json,1578,1592,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":1000.0,""center_lat"":52.213983,""center_lon"":0.12,""height_m"":1500,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":1500,""window_size_m"":1500.0}",1118365499,OK,
OSM_cambridge_haggle_offset_n_1500m_1000m_1336,1600,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_1600/wkt/map_1336,,,batch_1600/wkt/map_1336/metadata.json,0,0,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":1000.0,""center_lat"":52.213983,""center_lon"":0.12,""height_m"":1500,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":1500,""window_size_m"":1500.0}",550408633,FAIL_DOWNLOAD_TRANSIENT,No module named 'osmnx'
