feature,mean,std
world_area,3299384.5,1589891.9443180617
aspect_ratio,0.9206752439338881,0.04289177029599409
N,120.83333333333333,83.71205653790649
nrofHostGroups,1.8142857142857143,0.3888778600714577
density,47.93300506478152,46.62782224243082
mm_WDM,0.07142857142857142,0.25754065430542905
mm_RWP,0.0,0.0
mm_MapRoute,0.2857142857142857,0.4517561923123119
speed_mean,5.053571428571429,3.8918360071666407
wait_mean,75.85714285714286,80.99410269670862
contact_rate_proxy,2.110161616934436,6.68777371904132
event_interval_mean,90.0,0.0
nrof_event_generators,1.0,0.0
pattern_burst,0.0,0.0
pattern_hub_target,0.0,0.0
transmitRange,64.16666666666667,68.70360773735348
Scenario.endTime,32400.0,29860.623667332227
