feature,mean,std
world_area,3299384.5,1589891.9443180617
aspect_ratio,0.9206752439338881,0.04289177029599409
N,120.83333333333333,83.71205653790649
nrofHostGroups,1.8142857142857143,0.3888778600714577
speed_mean,5.053571428571429,3.8918360071666407
wait_mean,75.85714285714286,80.99410269670862
mm_WDM,0.07142857142857142,0.25754065430542905
mm_RWP,0.0,0.0
mm_MapRoute,0.2857142857142857,0.4517561923123119
mm_Cluster,0.24285714285714285,0.4288115847555417
mm_Bus,0.4714285714285714,0.49918548211477975
mm_Linear,0.0,0.0
transmitRange,64.16666666666667,68.70360773735348
bufferSize,43750000.0,36293257.87892218
transmitSpeed,2400000.0,0.0
msgTtl,300.0,0.0
event_interval_mean,90.0,0.0
event_size_mean,100000.0,0.0
nrof_event_generators,1.0,0.0
pattern_burst,0.0,0.0
pattern_hub_target,0.0,0.0
workDayLength,28800.0,0.0
ownCarProb,0.0,0.0
