duplicate_scenario,duplicate_candidate_id,representative_scenario,representative_candidate_id,feature_set
SV1_C16114,C16114,SV1_C15634,C15634,core23
SV1_C16115,C16115,SV1_C15635,C15635,core23
SV1_C16116,C16116,SV1_C15636,C15636,core23
SV1_C16117,C16117,SV1_C15637,C15637,core23
SV1_C16118,C16118,SV1_C15638,C15638,core23
SV1_C16119,C16119,SV1_C15639,C15639,core23
SV1_C16120,C16120,SV1_C15640,C15640,core23
SV1_C16121,C16121,SV1_C15641,C15641,core23
SV1_C16122,C16122,SV1_C15642,C15642,core23
SV1_C16123,C16123,SV1_C15643,C15643,core23
SV1_C16124,C16124,SV1_C15644,C15644,core23
SV1_C16125,C16125,SV1_C15645,C15645,core23
SV1_C16126,C16126,SV1_C15646,C15646,core23
SV1_C16127,C16127,SV1_C15647,C15647,core23
SV1_C16128,C16128,SV1_C15624,C15624,core23
SV1_C16129,C16129,SV1_C15625,C15625,core23
SV1_C16130,C16130,SV1_C15626,C15626,core23
SV1_C16131,C16131,SV1_C15627,C15627,core23
SV1_C16132,C16132,SV1_C15628,C15628,core23
SV1_C16133,C16133,SV1_C15629,C15629,core23
SV1_C16134,C16134,SV1_C15630,C15630,core23
SV1_C16135,C16135,SV1_C15631,C15631,core23
SV1_C16136,C16136,SV1_C15632,C15632,core23
SV1_C16137,C16137,SV1_C15633,C15633,core23
SV1_C16138,C16138,SV1_C15634,C15634,core23
SV1_C16139,C16139,SV1_C15635,C15635,core23
SV1_C16140,C16140,SV1_C15636,C15636,core23
SV1_C16141,C16141,SV1_C15637,C15637,core23
SV1_C16142,C16142,SV1_C15638,C15638,core23
SV1_C16143,C16143,SV1_C15639,C15639,core23
SV1_C16144,C16144,SV1_C15640,C15640,core23
SV1_C16145,C16145,SV1_C15641,C15641,core23
SV1_C16146,C16146,SV1_C15642,C15642,core23
SV1_C16147,C16147,SV1_C15643,C15643,core23
SV1_C16148,C16148,SV1_C15644,C15644,core23
SV1_C16149,C16149,SV1_C15645,C15645,core23
SV1_C16150,C16150,SV1_C15646,C15646,core23
SV1_C16151,C16151,SV1_C15647,C15647,core23
SV1_C16152,C16152,SV1_C15672,C15672,core23
SV1_C16153,C16153,SV1_C15673,C15673,core23
SV1_C16154,C16154,SV1_C15674,C15674,core23
SV1_C16155,C16155,SV1_C15675,C15675,core23
SV1_C16156,C16156,SV1_C15676,C15676,core23
SV1_C16157,C16157,SV1_C15677,C15677,core23
SV1_C16158,C16158,SV1_C15678,C15678,core23
SV1_C16159,C16159,SV1_C15679,C15679,core23
SV1_C16160,C16160,SV1_C15680,C15680,core23
SV1_C16161,C16161,SV1_C15681,C15681,core23
SV1_C16162,C16162,SV1_C15682,C15682,core23
SV1_C16163,C16163,SV1_C15683,C15683,core23
SV1_C16164,C16164,SV1_C15684,C15684,core23
SV1_C16165,C16165,SV1_C15685,C15685,core23
SV1_C16166,C16166,SV1_C15686,C15686,core23
SV1_C16167,C16167,SV1_C15687,C15687,core23
SV1_C16168,C16168,SV1_C15688,C15688,core23
SV1_C16169,C16169,SV1_C15689,C15689,core23
SV1_C16170,C16170,SV1_C15690,C15690,core23
SV1_C16171,C16171,SV1_C15691,C15691,core23
SV1_C16172,C16172,SV1_C15692,C15692,core23
SV1_C16173,C16173,SV1_C15693,C15693,core23
SV1_C16174,C16174,SV1_C15694,C15694,core23
SV1_C16175,C16175,SV1_C15695,C15695,core23
SV1_C16176,C16176,SV1_C01296,C01296,core23
SV1_C16177,C16177,SV1_C01297,C01297,core23
SV1_C16178,C16178,SV1_C01298,C01298,core23
SV1_C16179,C16179,SV1_C01299,C01299,core23
SV1_C16180,C16180,SV1_C01300,C01300,core23
SV1_C16181,C16181,SV1_C01301,C01301,core23
SV1_C16182,C16182,SV1_C01302,C01302,core23
SV1_C16183,C16183,SV1_C01303,C01303,core23
SV1_C16184,C16184,SV1_C01304,C01304,core23
SV1_C16185,C16185,SV1_C01305,C01305,core23
SV1_C16186,C16186,SV1_C01306,C01306,core23
SV1_C16187,C16187,SV1_C01307,C01307,core23
SV1_C16188,C16188,SV1_C01308,C01308,core23
SV1_C16189,C16189,SV1_C01309,C01309,core23
SV1_C16190,C16190,SV1_C01310,C01310,core23
SV1_C16191,C16191,SV1_C01311,C01311,core23
SV1_C16192,C16192,SV1_C01312,C01312,core23
SV1_C16193,C16193,SV1_C01313,C01313,core23
SV1_C16194,C16194,SV1_C01314,C01314,core23
SV1_C16195,C16195,SV1_C01315,C01315,core23
SV1_C16196,C16196,SV1_C01316,C01316,core23
SV1_C16197,C16197,SV1_C01317,C01317,core23
SV1_C16198,C16198,SV1_C01318,C01318,core23
SV1_C16199,C16199,SV1_C01319,C01319,core23
SV1_C16248,C16248,SV1_C16224,C16224,core23
SV1_C16249,C16249,SV1_C16225,C16225,core23
SV1_C16250,C16250,SV1_C16226,C16226,core23
SV1_C16251,C16251,SV1_C16227,C16227,core23
SV1_C16252,C16252,SV1_C16228,C16228,core23
SV1_C16253,C16253,SV1_C16229,C16229,core23
SV1_C16254,C16254,SV1_C16230,C16230,core23
SV1_C16255,C16255,SV1_C16231,C16231,core23
SV1_C16256,C16256,SV1_C16232,C16232,core23
SV1_C16257,C16257,SV1_C16233,C16233,core23
SV1_C16258,C16258,SV1_C16234,C16234,core23
SV1_C16259,C16259,SV1_C16235,C16235,core23
SV1_C16260,C16260,SV1_C16236,C16236,core23
SV1_C16261,C16261,SV1_C16237,C16237,core23
SV1_C16262,C16262,SV1_C16238,C16238,core23
SV1_C16263,C16263,SV1_C16239,C16239,core23
SV1_C16264,C16264,SV1_C16240,C16240,core23
SV1_C16265,C16265,SV1_C16241,C16241,core23
SV1_C16266,C16266,SV1_C16242,C16242,core23
SV1_C16267,C16267,SV1_C16243,C16243,core23
SV1_C16268,C16268,SV1_C16244,C16244,core23
SV1_C16269,C16269,SV1_C16245,C16245,core23
SV1_C16270,C16270,SV1_C16246,C16246,core23
SV1_C16271,C16271,SV1_C16247,C16247,core23
SV1_C16296,C16296,SV1_C01896,C01896,core23
SV1_C16297,C16297,SV1_C01897,C01897,core23
SV1_C16298,C16298,SV1_C01898,C01898,core23
SV1_C16299,C16299,SV1_C01899,C01899,core23
SV1_C16300,C16300,SV1_C01900,C01900,core23
SV1_C16301,C16301,SV1_C01901,C01901,core23
SV1_C16302,C16302,SV1_C01902,C01902,core23
SV1_C16303,C16303,SV1_C01903,C01903,core23
SV1_C16304,C16304,SV1_C01904,C01904,core23
SV1_C16305,C16305,SV1_C01905,C01905,core23
SV1_C16306,C16306,SV1_C01906,C01906,core23
SV1_C16307,C16307,SV1_C01907,C01907,core23
SV1_C16308,C16308,SV1_C01908,C01908,core23
SV1_C16309,C16309,SV1_C01909,C01909,core23
SV1_C16310,C16310,SV1_C01910,C01910,core23
SV1_C16311,C16311,SV1_C01911,C01911,core23
SV1_C16312,C16312,SV1_C01912,C01912,core23
SV1_C16313,C16313,SV1_C01913,C01913,core23
SV1_C16314,C16314,SV1_C01914,C01914,core23
SV1_C16315,C16315,SV1_C01915,C01915,core23
SV1_C16316,C16316,SV1_C01916,C01916,core23
SV1_C16317,C16317,SV1_C01917,C01917,core23
SV1_C16318,C16318,SV1_C01918,C01918,core23
SV1_C16319,C16319,SV1_C01919,C01919,core23
SV1_C16320,C16320,SV1_C16200,C16200,core23
SV1_C16321,C16321,SV1_C16201,C16201,core23
SV1_C16322,C16322,SV1_C16202,C16202,core23
SV1_C16323,C16323,SV1_C16203,C16203,core23
SV1_C16324,C16324,SV1_C16204,C16204,core23
SV1_C16325,C16325,SV1_C16205,C16205,core23
SV1_C16326,C16326,SV1_C16206,C16206,core23
SV1_C16327,C16327,SV1_C16207,C16207,core23
SV1_C16328,C16328,SV1_C16208,C16208,core23
SV1_C16329,C16329,SV1_C16209,C16209,core23
SV1_C16330,C16330,SV1_C16210,C16210,core23
SV1_C16331,C16331,SV1_C16211,C16211,core23
SV1_C16332,C16332,SV1_C16212,C16212,core23
SV1_C16333,C16333,SV1_C16213,C16213,core23
SV1_C16334,C16334,SV1_C16214,C16214,core23
SV1_C16335,C16335,SV1_C16215,C16215,core23
SV1_C16336,C16336,SV1_C16216,C16216,core23
SV1_C16337,C16337,SV1_C16217,C16217,core23
SV1_C16338,C16338,SV1_C16218,C16218,core23
SV1_C16339,C16339,SV1_C16219,C16219,core23
