duplicate_scenario,duplicate_candidate_id,representative_scenario,representative_candidate_id,feature_set
SV1_C85870,C85870,SV1_C71446,C71446,full46
SV1_C85871,C85871,SV1_C71447,C71447,full46
SV1_C85944,C85944,SV1_C71544,C71544,full46
SV1_C85945,C85945,SV1_C71545,C71545,full46
SV1_C85946,C85946,SV1_C71546,C71546,full46
SV1_C85947,C85947,SV1_C71547,C71547,full46
SV1_C85948,C85948,SV1_C71548,C71548,full46
SV1_C85949,C85949,SV1_C71549,C71549,full46
SV1_C85950,C85950,SV1_C71550,C71550,full46
SV1_C85951,C85951,SV1_C71551,C71551,full46
SV1_C85952,C85952,SV1_C71552,C71552,full46
SV1_C85953,C85953,SV1_C71553,C71553,full46
SV1_C85954,C85954,SV1_C71554,C71554,full46
SV1_C85955,C85955,SV1_C71555,C71555,full46
SV1_C85956,C85956,SV1_C71556,C71556,full46
SV1_C85957,C85957,SV1_C71557,C71557,full46
SV1_C85958,C85958,SV1_C71558,C71558,full46
SV1_C85959,C85959,SV1_C71559,C71559,full46
SV1_C85960,C85960,SV1_C71560,C71560,full46
SV1_C85961,C85961,SV1_C71561,C71561,full46
SV1_C85962,C85962,SV1_C71562,C71562,full46
SV1_C85963,C85963,SV1_C71563,C71563,full46
SV1_C85964,C85964,SV1_C71564,C71564,full46
SV1_C85965,C85965,SV1_C71565,C71565,full46
SV1_C85966,C85966,SV1_C71566,C71566,full46
SV1_C85967,C85967,SV1_C71567,C71567,full46
SV1_C85968,C85968,SV1_C71544,C71544,full46
SV1_C85969,C85969,SV1_C71545,C71545,full46
SV1_C85970,C85970,SV1_C71546,C71546,full46
SV1_C85971,C85971,SV1_C71547,C71547,full46
SV1_C85972,C85972,SV1_C71548,C71548,full46
SV1_C85973,C85973,SV1_C71549,C71549,full46
SV1_C85974,C85974,SV1_C71550,C71550,full46
SV1_C85975,C85975,SV1_C71551,C71551,full46
SV1_C85976,C85976,SV1_C71552,C71552,full46
SV1_C85977,C85977,SV1_C71553,C71553,full46
