settings_path,tree,scenario_name,map_file1,world_size,group_movement,group1_movement,route_files,legacy_bus_refs,issues,status
scenarios/corpus_v1/04_rural/R6_SparseLongRange__TP07_BurstWindow.settings,corpus_v1,R6_SparseLongRange__TP07_BurstWindow,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R6_SparseLongRange__TP08_HubTarget.settings,corpus_v1,R6_SparseLongRange__TP08_HubTarget,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R6_SparseLongRange__TP09_Bimodal.settings,corpus_v1,R6_SparseLongRange__TP09_Bimodal,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R6_SparseLongRange__TP10_Storm.settings,corpus_v1,R6_SparseLongRange__TP10_Storm,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R6_SparseLongRange__TP11_ManyToOne.settings,corpus_v1,R6_SparseLongRange__TP11_ManyToOne,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R6_SparseLongRange__TP12_GroupToGroup.settings,corpus_v1,R6_SparseLongRange__TP12_GroupToGroup,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R7_SparseTinyBuffer__TP01_Baseline.settings,corpus_v1,R7_SparseTinyBuffer__TP01_Baseline,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R7_SparseTinyBuffer__TP02_LowLoad.settings,corpus_v1,R7_SparseTinyBuffer__TP02_LowLoad,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R7_SparseTinyBuffer__TP03_ManySmall.settings,corpus_v1,R7_SparseTinyBuffer__TP03_ManySmall,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R7_SparseTinyBuffer__TP04_FewLarge.settings,corpus_v1,R7_SparseTinyBuffer__TP04_FewLarge,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
