settings_path,tree,scenario_name,map_file1,world_size,group_movement,group1_movement,route_files,legacy_bus_refs,issues,status
scenarios/corpus_v1/04_rural/R11_SpeedExtremeLow__TP08_HubTarget.settings,corpus_v1,R11_SpeedExtremeLow__TP08_HubTarget,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R11_SpeedExtremeLow__TP09_Bimodal.settings,corpus_v1,R11_SpeedExtremeLow__TP09_Bimodal,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R11_SpeedExtremeLow__TP10_Storm.settings,corpus_v1,R11_SpeedExtremeLow__TP10_Storm,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R11_SpeedExtremeLow__TP11_ManyToOne.settings,corpus_v1,R11_SpeedExtremeLow__TP11_ManyToOne,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R11_SpeedExtremeLow__TP12_GroupToGroup.settings,corpus_v1,R11_SpeedExtremeLow__TP12_GroupToGroup,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R12_SpeedExtremeHigh__TP01_Baseline.settings,corpus_v1,R12_SpeedExtremeHigh__TP01_Baseline,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R12_SpeedExtremeHigh__TP02_LowLoad.settings,corpus_v1,R12_SpeedExtremeHigh__TP02_LowLoad,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R12_SpeedExtremeHigh__TP03_ManySmall.settings,corpus_v1,R12_SpeedExtremeHigh__TP03_ManySmall,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R12_SpeedExtremeHigh__TP04_FewLarge.settings,corpus_v1,R12_SpeedExtremeHigh__TP04_FewLarge,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R12_SpeedExtremeHigh__TP05_CriticalTTL.settings,corpus_v1,R12_SpeedExtremeHigh__TP05_CriticalTTL,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R12_SpeedExtremeHigh__TP06_OneToMany.settings,corpus_v1,R12_SpeedExtremeHigh__TP06_OneToMany,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R12_SpeedExtremeHigh__TP07_BurstWindow.settings,corpus_v1,R12_SpeedExtremeHigh__TP07_BurstWindow,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R12_SpeedExtremeHigh__TP08_HubTarget.settings,corpus_v1,R12_SpeedExtremeHigh__TP08_HubTarget,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R12_SpeedExtremeHigh__TP09_Bimodal.settings,corpus_v1,R12_SpeedExtremeHigh__TP09_Bimodal,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R12_SpeedExtremeHigh__TP10_Storm.settings,corpus_v1,R12_SpeedExtremeHigh__TP10_Storm,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R12_SpeedExtremeHigh__TP11_ManyToOne.settings,corpus_v1,R12_SpeedExtremeHigh__TP11_ManyToOne,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R12_SpeedExtremeHigh__TP12_GroupToGroup.settings,corpus_v1,R12_SpeedExtremeHigh__TP12_GroupToGroup,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R1_Rural_SparseSPMM__TP01_Baseline.settings,corpus_v1,R1_Rural_SparseSPMM__TP01_Baseline,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R1_Rural_SparseSPMM__TP02_LowLoad.settings,corpus_v1,R1_Rural_SparseSPMM__TP02_LowLoad,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R1_Rural_SparseSPMM__TP03_ManySmall.settings,corpus_v1,R1_Rural_SparseSPMM__TP03_ManySmall,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R1_Rural_SparseSPMM__TP04_FewLarge.settings,corpus_v1,R1_Rural_SparseSPMM__TP04_FewLarge,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R1_Rural_SparseSPMM__TP05_CriticalTTL.settings,corpus_v1,R1_Rural_SparseSPMM__TP05_CriticalTTL,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R1_Rural_SparseSPMM__TP06_OneToMany.settings,corpus_v1,R1_Rural_SparseSPMM__TP06_OneToMany,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R1_Rural_SparseSPMM__TP07_BurstWindow.settings,corpus_v1,R1_Rural_SparseSPMM__TP07_BurstWindow,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R1_Rural_SparseSPMM__TP08_HubTarget.settings,corpus_v1,R1_Rural_SparseSPMM__TP08_HubTarget,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R1_Rural_SparseSPMM__TP09_Bimodal.settings,corpus_v1,R1_Rural_SparseSPMM__TP09_Bimodal,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R1_Rural_SparseSPMM__TP10_Storm.settings,corpus_v1,R1_Rural_SparseSPMM__TP10_Storm,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R1_Rural_SparseSPMM__TP11_ManyToOne.settings,corpus_v1,R1_Rural_SparseSPMM__TP11_ManyToOne,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R1_Rural_SparseSPMM__TP12_GroupToGroup.settings,corpus_v1,R1_Rural_SparseSPMM__TP12_GroupToGroup,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R2_VillagesTrails_ThreeClusters__TP01_Baseline.settings,corpus_v1,R2_VillagesTrails_ThreeClusters__TP01_Baseline,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ClusterMovement,ClusterMovement,,0,,PASS
scenarios/corpus_v1/04_rural/R2_VillagesTrails_ThreeClusters__TP02_LowLoad.settings,corpus_v1,R2_VillagesTrails_ThreeClusters__TP02_LowLoad,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ClusterMovement,ClusterMovement,,0,,PASS
scenarios/corpus_v1/04_rural/R2_VillagesTrails_ThreeClusters__TP03_ManySmall.settings,corpus_v1,R2_VillagesTrails_ThreeClusters__TP03_ManySmall,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ClusterMovement,ClusterMovement,,0,,PASS
scenarios/corpus_v1/04_rural/R2_VillagesTrails_ThreeClusters__TP04_FewLarge.settings,corpus_v1,R2_VillagesTrails_ThreeClusters__TP04_FewLarge,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ClusterMovement,ClusterMovement,,0,,PASS
scenarios/corpus_v1/04_rural/R2_VillagesTrails_ThreeClusters__TP05_CriticalTTL.settings,corpus_v1,R2_VillagesTrails_ThreeClusters__TP05_CriticalTTL,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ClusterMovement,ClusterMovement,,0,,PASS
scenarios/corpus_v1/04_rural/R2_VillagesTrails_ThreeClusters__TP06_OneToMany.settings,corpus_v1,R2_VillagesTrails_ThreeClusters__TP06_OneToMany,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ClusterMovement,ClusterMovement,,0,,PASS
scenarios/corpus_v1/04_rural/R2_VillagesTrails_ThreeClusters__TP07_BurstWindow.settings,corpus_v1,R2_VillagesTrails_ThreeClusters__TP07_BurstWindow,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ClusterMovement,ClusterMovement,,0,,PASS
scenarios/corpus_v1/04_rural/R2_VillagesTrails_ThreeClusters__TP08_HubTarget.settings,corpus_v1,R2_VillagesTrails_ThreeClusters__TP08_HubTarget,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ClusterMovement,ClusterMovement,,0,,PASS
scenarios/corpus_v1/04_rural/R2_VillagesTrails_ThreeClusters__TP09_Bimodal.settings,corpus_v1,R2_VillagesTrails_ThreeClusters__TP09_Bimodal,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ClusterMovement,ClusterMovement,,0,,PASS
scenarios/corpus_v1/04_rural/R2_VillagesTrails_ThreeClusters__TP10_Storm.settings,corpus_v1,R2_VillagesTrails_ThreeClusters__TP10_Storm,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ClusterMovement,ClusterMovement,,0,,PASS
scenarios/corpus_v1/04_rural/R2_VillagesTrails_ThreeClusters__TP11_ManyToOne.settings,corpus_v1,R2_VillagesTrails_ThreeClusters__TP11_ManyToOne,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ClusterMovement,ClusterMovement,,0,,PASS
scenarios/corpus_v1/04_rural/R2_VillagesTrails_ThreeClusters__TP12_GroupToGroup.settings,corpus_v1,R2_VillagesTrails_ThreeClusters__TP12_GroupToGroup,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ClusterMovement,ClusterMovement,,0,,PASS
scenarios/corpus_v1/04_rural/R3_WildlifeTracking__TP01_Baseline.settings,corpus_v1,R3_WildlifeTracking__TP01_Baseline,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R3_WildlifeTracking__TP02_LowLoad.settings,corpus_v1,R3_WildlifeTracking__TP02_LowLoad,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R3_WildlifeTracking__TP03_ManySmall.settings,corpus_v1,R3_WildlifeTracking__TP03_ManySmall,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R3_WildlifeTracking__TP04_FewLarge.settings,corpus_v1,R3_WildlifeTracking__TP04_FewLarge,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R3_WildlifeTracking__TP05_CriticalTTL.settings,corpus_v1,R3_WildlifeTracking__TP05_CriticalTTL,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R3_WildlifeTracking__TP06_OneToMany.settings,corpus_v1,R3_WildlifeTracking__TP06_OneToMany,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R3_WildlifeTracking__TP07_BurstWindow.settings,corpus_v1,R3_WildlifeTracking__TP07_BurstWindow,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R3_WildlifeTracking__TP08_HubTarget.settings,corpus_v1,R3_WildlifeTracking__TP08_HubTarget,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R3_WildlifeTracking__TP09_Bimodal.settings,corpus_v1,R3_WildlifeTracking__TP09_Bimodal,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R3_WildlifeTracking__TP10_Storm.settings,corpus_v1,R3_WildlifeTracking__TP10_Storm,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R3_WildlifeTracking__TP11_ManyToOne.settings,corpus_v1,R3_WildlifeTracking__TP11_ManyToOne,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R3_WildlifeTracking__TP12_GroupToGroup.settings,corpus_v1,R3_WildlifeTracking__TP12_GroupToGroup,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R4_ParkRangers_NuuksioSparseTrails__TP01_Baseline.settings,corpus_v1,R4_ParkRangers_NuuksioSparseTrails__TP01_Baseline,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",MapRouteMovement,MapRouteMovement,Group.routeFile=data/NuuksioSparseTrails/A_ranger_patrol.wkt; Group1.routeFile=data/NuuksioSparseTrails/A_ranger_patrol.wkt,0,,PASS
scenarios/corpus_v1/04_rural/R4_ParkRangers_NuuksioSparseTrails__TP02_LowLoad.settings,corpus_v1,R4_ParkRangers_NuuksioSparseTrails__TP02_LowLoad,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",MapRouteMovement,MapRouteMovement,Group.routeFile=data/NuuksioSparseTrails/A_ranger_patrol.wkt; Group1.routeFile=data/NuuksioSparseTrails/A_ranger_patrol.wkt,0,,PASS
scenarios/corpus_v1/04_rural/R4_ParkRangers_NuuksioSparseTrails__TP03_ManySmall.settings,corpus_v1,R4_ParkRangers_NuuksioSparseTrails__TP03_ManySmall,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",MapRouteMovement,MapRouteMovement,Group.routeFile=data/NuuksioSparseTrails/A_ranger_patrol.wkt; Group1.routeFile=data/NuuksioSparseTrails/A_ranger_patrol.wkt,0,,PASS
scenarios/corpus_v1/04_rural/R4_ParkRangers_NuuksioSparseTrails__TP04_FewLarge.settings,corpus_v1,R4_ParkRangers_NuuksioSparseTrails__TP04_FewLarge,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",MapRouteMovement,MapRouteMovement,Group.routeFile=data/NuuksioSparseTrails/A_ranger_patrol.wkt; Group1.routeFile=data/NuuksioSparseTrails/A_ranger_patrol.wkt,0,,PASS
scenarios/corpus_v1/04_rural/R4_ParkRangers_NuuksioSparseTrails__TP05_CriticalTTL.settings,corpus_v1,R4_ParkRangers_NuuksioSparseTrails__TP05_CriticalTTL,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",MapRouteMovement,MapRouteMovement,Group.routeFile=data/NuuksioSparseTrails/A_ranger_patrol.wkt; Group1.routeFile=data/NuuksioSparseTrails/A_ranger_patrol.wkt,0,,PASS
scenarios/corpus_v1/04_rural/R4_ParkRangers_NuuksioSparseTrails__TP06_OneToMany.settings,corpus_v1,R4_ParkRangers_NuuksioSparseTrails__TP06_OneToMany,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",MapRouteMovement,MapRouteMovement,Group.routeFile=data/NuuksioSparseTrails/A_ranger_patrol.wkt; Group1.routeFile=data/NuuksioSparseTrails/A_ranger_patrol.wkt,0,,PASS
scenarios/corpus_v1/04_rural/R4_ParkRangers_NuuksioSparseTrails__TP07_BurstWindow.settings,corpus_v1,R4_ParkRangers_NuuksioSparseTrails__TP07_BurstWindow,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",MapRouteMovement,MapRouteMovement,Group.routeFile=data/NuuksioSparseTrails/A_ranger_patrol.wkt; Group1.routeFile=data/NuuksioSparseTrails/A_ranger_patrol.wkt,0,,PASS
scenarios/corpus_v1/04_rural/R4_ParkRangers_NuuksioSparseTrails__TP08_HubTarget.settings,corpus_v1,R4_ParkRangers_NuuksioSparseTrails__TP08_HubTarget,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",MapRouteMovement,MapRouteMovement,Group.routeFile=data/NuuksioSparseTrails/A_ranger_patrol.wkt; Group1.routeFile=data/NuuksioSparseTrails/A_ranger_patrol.wkt,0,,PASS
