scenario_settings,tree,reason,resimulation_recommended
S4_RandomMixing_NoHotspots__TP05_CriticalTTL.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S4_RandomMixing_NoHotspots__TP06_OneToMany.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S4_RandomMixing_NoHotspots__TP07_BurstWindow.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S4_RandomMixing_NoHotspots__TP08_HubTarget.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S4_RandomMixing_NoHotspots__TP09_Bimodal.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S4_RandomMixing_NoHotspots__TP10_Storm.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S4_RandomMixing_NoHotspots__TP11_ManyToOne.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S4_RandomMixing_NoHotspots__TP12_GroupToGroup.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S5_TwoLayer_StudentsStaff__TP01_Baseline.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S5_TwoLayer_StudentsStaff__TP02_LowLoad.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S5_TwoLayer_StudentsStaff__TP03_ManySmall.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S5_TwoLayer_StudentsStaff__TP04_FewLarge.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S5_TwoLayer_StudentsStaff__TP05_CriticalTTL.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S5_TwoLayer_StudentsStaff__TP06_OneToMany.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S5_TwoLayer_StudentsStaff__TP07_BurstWindow.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S5_TwoLayer_StudentsStaff__TP08_HubTarget.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S5_TwoLayer_StudentsStaff__TP09_Bimodal.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S5_TwoLayer_StudentsStaff__TP10_Storm.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S5_TwoLayer_StudentsStaff__TP11_ManyToOne.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S5_TwoLayer_StudentsStaff__TP12_GroupToGroup.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S6_FamilyGroups_SmallPersistent__TP01_Baseline.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S6_FamilyGroups_SmallPersistent__TP02_LowLoad.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S6_FamilyGroups_SmallPersistent__TP03_ManySmall.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S6_FamilyGroups_SmallPersistent__TP04_FewLarge.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S6_FamilyGroups_SmallPersistent__TP05_CriticalTTL.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S6_FamilyGroups_SmallPersistent__TP06_OneToMany.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S6_FamilyGroups_SmallPersistent__TP07_BurstWindow.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S6_FamilyGroups_SmallPersistent__TP08_HubTarget.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S6_FamilyGroups_SmallPersistent__TP09_Bimodal.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S6_FamilyGroups_SmallPersistent__TP10_Storm.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S6_FamilyGroups_SmallPersistent__TP11_ManyToOne.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S6_FamilyGroups_SmallPersistent__TP12_GroupToGroup.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
