archetype_a,archetype_b,centroid_l2,centroid_cosine
urban_grid,dense_urban_irregular,1.6405872122301404,0.31583620283179803
urban_grid,campus_compact,2.923573440681719,0.9511553743903152
urban_grid,compact_residential,8.083068113802836,1.2827475002341229
urban_grid,corridor_linear,6.47706483545304,1.130952447863288
urban_grid,bus_route_urban_suburban,3.6666691005128933,1.076098634232943
urban_grid,radial_city,2.785778424862358,0.4867069674815582
urban_grid,hub_and_spoke,4.1469473589840815,0.8182699724858253
urban_grid,sparse_trails,4.857900277918826,1.388791461818922
urban_grid,rural_roads,5.353469907270735,1.0637724252072212
urban_grid,industrial_disrupted,1.7418289507551104,0.36677371283605953
urban_grid,island_or_partitioned,4.854662996706485,1.0475934695711056
urban_grid,conference_event_compact,10.671733585910886,1.2503285921782927
urban_grid,clustered_communities,5.070943374028629,0.8159131578204681
urban_grid,suburban_low_density,4.487051503249552,1.32312770377204
dense_urban_irregular,urban_grid,1.6405872122301404,0.31583620283179803
dense_urban_irregular,campus_compact,1.8335954003289074,0.5292078198365826
dense_urban_irregular,compact_residential,7.408061876957057,1.0700402595199703
dense_urban_irregular,corridor_linear,6.366963981849161,1.2817136560561815
dense_urban_irregular,bus_route_urban_suburban,2.7484422007034284,0.7401854069046523
dense_urban_irregular,radial_city,2.949448875796588,0.6260708396144401
dense_urban_irregular,hub_and_spoke,4.1530189369987,0.9740927472356975
dense_urban_irregular,sparse_trails,4.154791406069934,1.2549738146727218
dense_urban_irregular,rural_roads,5.314878193401002,1.2704887469590165
dense_urban_irregular,industrial_disrupted,0.9070725322018013,0.18442296532790836
dense_urban_irregular,island_or_partitioned,4.4241311043126625,0.9801382473932079
dense_urban_irregular,conference_event_compact,10.308137849336013,1.216177365196836
dense_urban_irregular,clustered_communities,5.044926660752928,0.8962071163922901
dense_urban_irregular,suburban_low_density,3.5759362247434154,1.0195400319814072
campus_compact,urban_grid,2.923573440681719,0.9511553743903152
campus_compact,dense_urban_irregular,1.8335954003289074,0.5292078198365826
campus_compact,compact_residential,7.1653019232621,0.8670038767090689
campus_compact,corridor_linear,7.198546090458808,1.6278202315459627
campus_compact,bus_route_urban_suburban,3.4972286767648146,1.0782940367284526
campus_compact,radial_city,2.915766653686731,0.5666906594303776
campus_compact,hub_and_spoke,3.8731186384346357,0.7249769550176478
campus_compact,sparse_trails,4.544683584879855,1.3107431558458575
campus_compact,rural_roads,5.627907899945192,1.2937926538437394
campus_compact,industrial_disrupted,2.2159979479273373,0.7863296877808997
campus_compact,island_or_partitioned,3.4166747508934465,0.4067641895523223
campus_compact,conference_event_compact,10.677632090515244,1.3159535969895395
campus_compact,clustered_communities,4.225328666747578,0.44987840892336994
campus_compact,suburban_low_density,4.027591559805076,1.1486135523413314
compact_residential,urban_grid,8.083068113802836,1.2827475002341229
compact_residential,dense_urban_irregular,7.408061876957057,1.0700402595199703
