scenario,N_hosts,contact_time_mean_s,inter_contact_time_mean_s,contact_time_per_min,total_encounters,inter_contact_time_proxy_s,betweenness_centrality,ratio_contact_nodes,popularity_top10_ratio,window_centrality_mean,encounters_top10_mean,sociability_top10_mean,availability_note,contact_hist_rows,intercontact_hist_rows,trace_nodes,scenario_end_time_s
C1_Campus_ClassChange__TP01_Baseline,60,14.961504058307122,8109.248366921484,8.384722222222223,6037.0,7.155872121914858,0.8333333333333333,0.9717514124293786,1.0,23.16944444444444,232.5,0.019256253105847276,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,60,43200.0
C1_Campus_ClassChange__TP02_LowLoad,60,15.148161150117026,8007.608833177146,8.308333333333334,5982.0,7.2216649949849545,0.933333333333333,0.9683615819209039,1.0,23.370833333333334,230.83333333333334,0.019293993090382256,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,60,43200.0
C1_Campus_ClassChange__TP03_ManySmall,60,15.146167913549457,8194.93308584686,8.354166666666666,6015.0,7.182044887780549,1.0833333333333333,0.963276836158192,0.9971751412429378,23.25277777777778,232.66666666666666,0.019340537545026324,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,60,43200.0
C1_Campus_ClassChange__TP04_FewLarge,60,15.148161150117026,8007.608833177146,8.308333333333334,5982.0,7.2216649949849545,0.933333333333333,0.9683615819209039,1.0,23.370833333333334,230.83333333333334,0.019293993090382256,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,60,43200.0
C1_Campus_ClassChange__TP05_CriticalTTL,60,14.961504058307122,8109.248366921484,8.384722222222223,6037.0,7.155872121914858,0.8333333333333333,0.9717514124293786,1.0,23.16944444444444,232.5,0.019256253105847276,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,60,43200.0
C1_Campus_ClassChange__TP06_OneToMany,60,15.148027415580103,8007.609254920354,8.308333333333334,5982.0,7.2216649949849545,0.933333333333333,0.9683615819209039,1.0,23.370833333333334,230.83333333333334,0.019293993090382256,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,60,43200.0
C1_Campus_ClassChange__TP07_BurstWindow,60,15.648218409765727,8336.813379310335,8.419444444444444,6062.0,7.126360936984494,0.9666666666666667,0.9672316384180791,1.0,23.298611111111114,238.16666666666666,0.019644231826679865,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,60,43200.0
C1_Campus_ClassChange__TP08_HubTarget,60,15.148027415580103,8007.609254920354,8.308333333333334,5982.0,7.2216649949849545,0.933333333333333,0.9683615819209039,1.0,23.370833333333334,230.83333333333334,0.019293993090382256,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,60,43200.0
C1_Campus_ClassChange__TP09_Bimodal,60,14.974658098533467,8007.649702108145,8.429166666666667,6069.0,7.118141374196737,1.0833333333333335,0.963276836158192,1.0,23.366666666666664,237.16666666666666,0.01953918822430933,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,60,43200.0
C1_Campus_ClassChange__TP10_Storm,60,15.107340355496975,8148.176368216179,8.438888888888888,6076.0,7.109940750493746,1.0166666666666664,0.9655367231638419,1.0,23.33888888888889,235.83333333333334,0.019406956330919465,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,60,43200.0
C1_Campus_ClassChange__TP11_ManyToOne,60,15.148027415580103,8007.609254920354,8.308333333333334,5982.0,7.2216649949849545,0.933333333333333,0.9683615819209039,1.0,23.370833333333334,230.83333333333334,0.019293993090382256,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,60,43200.0
C1_Campus_ClassChange__TP12_GroupToGroup,60,15.145512284806957,8006.945514171951,8.309722222222222,5983.0,7.220457964231991,0.933333333333333,0.9683615819209039,1.0,23.369444444444444,230.83333333333334,0.0192907682879269,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,60,43200.0
C2_ExamDay_LongStays__TP01_Baseline,48,73.95389221556886,11352.229096045201,1.3916666666666666,1002.0,43.11377245508982,10.0,0.5744680851063829,0.7148936170212765,51.54012471750678,53.0,0.02644710578842315,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,48,43200.0
C2_ExamDay_LongStays__TP02_LowLoad,48,73.95419161676648,11352.230225988702,1.3916666666666666,1002.0,43.11377245508982,10.0,0.5744680851063829,0.7148936170212765,51.54012471750678,53.0,0.02644710578842315,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,48,43200.0
C2_ExamDay_LongStays__TP03_ManySmall,48,73.95399201596805,11352.228248587573,1.3916666666666666,1002.0,43.11377245508982,10.0,0.5744680851063829,0.7148936170212765,51.54012471750678,53.0,0.02644710578842315,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,48,43200.0
C2_ExamDay_LongStays__TP04_FewLarge,48,73.95389221556886,11352.229096045201,1.3916666666666666,1002.0,43.11377245508982,10.0,0.5744680851063829,0.7148936170212765,51.54012471750678,53.0,0.02644710578842315,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,48,43200.0
C2_ExamDay_LongStays__TP05_CriticalTTL,48,73.95389221556886,11352.229096045201,1.3916666666666666,1002.0,43.11377245508982,10.0,0.5744680851063829,0.7148936170212765,51.54012471750678,53.0,0.02644710578842315,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,48,43200.0
C2_ExamDay_LongStays__TP06_OneToMany,48,73.9552894211577,11352.229096045197,1.3916666666666666,1002.0,43.11377245508982,10.0,0.5744680851063829,0.7148936170212765,51.54012471750678,53.0,0.02644710578842315,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,48,43200.0
C2_ExamDay_LongStays__TP07_BurstWindow,48,73.95339321357287,11352.230225988702,1.3916666666666666,1002.0,43.11377245508982,10.0,0.5744680851063829,0.7148936170212765,51.54012471750678,53.0,0.02644710578842315,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,48,43200.0
C2_ExamDay_LongStays__TP08_HubTarget,48,73.9552894211577,11352.229096045197,1.3916666666666666,1002.0,43.11377245508982,10.0,0.5744680851063829,0.7148936170212765,51.54012471750678,53.0,0.02644710578842315,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,48,43200.0
C2_ExamDay_LongStays__TP09_Bimodal,48,73.95389221556886,11352.229096045201,1.3916666666666666,1002.0,43.11377245508982,10.0,0.5744680851063829,0.7148936170212765,51.54012471750678,53.0,0.02644710578842315,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,48,43200.0
C2_ExamDay_LongStays__TP10_Storm,48,73.95528942115767,11352.221468926555,1.3916666666666666,1002.0,43.11377245508982,10.0,0.5744680851063829,0.7148936170212765,51.54012471750678,53.0,0.02644710578842315,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,48,43200.0
C2_ExamDay_LongStays__TP11_ManyToOne,48,73.9552894211577,11352.229096045197,1.3916666666666666,1002.0,43.11377245508982,10.0,0.5744680851063829,0.7148936170212765,51.54012471750678,53.0,0.02644710578842315,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,48,43200.0
C2_ExamDay_LongStays__TP12_GroupToGroup,48,73.95389221556886,11352.229096045201,1.3916666666666666,1002.0,43.11377245508982,10.0,0.5744680851063829,0.7148936170212765,51.54012471750678,53.0,0.02644710578842315,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,48,43200.0
C3_Hackathon_24h__TP01_Baseline,40,104.90432357043235,23200.80267175572,0.4979166666666667,717.0,120.5020920502092,8.125,0.5833333333333333,0.7307692307692308,16.76921450624378,46.75,0.03260111576011158,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,40,86400.0
C3_Hackathon_24h__TP02_LowLoad,40,104.90432357043235,23200.80267175572,0.4979166666666667,717.0,120.5020920502092,8.125,0.5833333333333333,0.7307692307692308,16.76921450624378,46.75,0.03260111576011158,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,40,86400.0
C3_Hackathon_24h__TP03_ManySmall,40,104.90432357043235,23200.80267175572,0.4979166666666667,717.0,120.5020920502092,8.125,0.5833333333333333,0.7307692307692308,16.76921450624378,46.75,0.03260111576011158,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,40,86400.0
C3_Hackathon_24h__TP04_FewLarge,40,104.90432357043235,23200.80267175572,0.4979166666666667,717.0,120.5020920502092,8.125,0.5833333333333333,0.7307692307692308,16.76921450624378,46.75,0.03260111576011158,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,40,86400.0
C3_Hackathon_24h__TP05_CriticalTTL,40,104.90432357043235,23200.80267175572,0.4979166666666667,717.0,120.5020920502092,8.125,0.5833333333333333,0.7307692307692308,16.76921450624378,46.75,0.03260111576011158,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,40,86400.0
C3_Hackathon_24h__TP06_OneToMany,40,104.90390516039048,23200.80305343511,0.4979166666666667,717.0,120.5020920502092,8.125,0.5833333333333333,0.7307692307692308,16.76921450624378,46.75,0.03260111576011158,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,40,86400.0
C3_Hackathon_24h__TP07_BurstWindow,40,104.90418410041838,23200.802290076328,0.4979166666666667,717.0,120.5020920502092,8.125,0.5833333333333333,0.7307692307692308,16.76921450624378,46.75,0.03260111576011158,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,40,86400.0
C3_Hackathon_24h__TP08_HubTarget,40,104.90390516039048,23200.80305343511,0.4979166666666667,717.0,120.5020920502092,8.125,0.5833333333333333,0.7307692307692308,16.76921450624378,46.75,0.03260111576011158,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,40,86400.0
C3_Hackathon_24h__TP09_Bimodal,40,104.90432357043235,23200.80267175572,0.4979166666666667,717.0,120.5020920502092,8.125,0.5833333333333333,0.7307692307692308,16.76921450624378,46.75,0.03260111576011158,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,40,86400.0
C3_Hackathon_24h__TP10_Storm,40,104.90418410041835,23200.79694656487,0.4979166666666667,717.0,120.5020920502092,8.125,0.5833333333333333,0.7307692307692308,16.76921450624378,46.75,0.03260111576011158,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,40,86400.0
C3_Hackathon_24h__TP11_ManyToOne,40,104.90390516039048,23200.80305343511,0.4979166666666667,717.0,120.5020920502092,8.125,0.5833333333333333,0.7307692307692308,16.76921450624378,46.75,0.03260111576011158,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,40,86400.0
C3_Hackathon_24h__TP12_GroupToGroup,40,104.90432357043235,23200.80267175572,0.4979166666666667,717.0,120.5020920502092,8.125,0.5833333333333333,0.7307692307692308,16.76921450624378,46.75,0.03260111576011158,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,40,86400.0
C4_CampusEvent_IngressEgress__TP01_Baseline,80,18.226842105263202,3010.08846737481,12.666666666666666,2280.0,4.7368421052631575,19.2375,0.5129746835443039,0.6376582278481012,32.85,76.25,0.016721491228070175,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,80,10800.0
C4_CampusEvent_IngressEgress__TP02_LowLoad,80,18.227192982456184,3010.088770864947,12.666666666666666,2280.0,4.7368421052631575,19.2375,0.5129746835443039,0.6376582278481012,32.85,76.25,0.016721491228070175,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,80,10800.0
C4_CampusEvent_IngressEgress__TP03_ManySmall,80,18.487370320252605,2979.378758169933,12.316666666666666,2217.0,4.871447902571042,19.4375,0.5079113924050633,0.6265822784810127,33.15,71.75,0.016181777176364456,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,80,10800.0
C4_CampusEvent_IngressEgress__TP04_FewLarge,80,18.22728070175441,3010.0892261001527,12.666666666666666,2280.0,4.7368421052631575,19.2375,0.5129746835443039,0.6376582278481012,32.85,76.25,0.016721491228070175,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,80,10800.0
C4_CampusEvent_IngressEgress__TP05_CriticalTTL,80,18.226842105263202,3010.08846737481,12.666666666666666,2280.0,4.7368421052631575,19.2375,0.5129746835443039,0.6376582278481012,32.85,76.25,0.016721491228070175,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,80,10800.0
C4_CampusEvent_IngressEgress__TP06_OneToMany,80,18.227236842105278,3010.089377845221,12.666666666666666,2280.0,4.7368421052631575,19.2375,0.5129746835443039,0.6376582278481012,32.85,76.25,0.016721491228070175,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,80,10800.0
C4_CampusEvent_IngressEgress__TP07_BurstWindow,80,18.22728070175441,3010.0892261001527,12.666666666666666,2280.0,4.7368421052631575,19.2375,0.5129746835443039,0.6376582278481012,32.85,76.25,0.016721491228070175,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,80,10800.0
C4_CampusEvent_IngressEgress__TP08_HubTarget,80,18.227236842105278,3010.089377845221,12.666666666666666,2280.0,4.7368421052631575,19.2375,0.5129746835443039,0.6376582278481012,32.85,76.25,0.016721491228070175,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,80,10800.0
C4_CampusEvent_IngressEgress__TP09_Bimodal,80,18.226842105263202,3010.08846737481,12.666666666666666,2280.0,4.7368421052631575,19.2375,0.5129746835443039,0.6376582278481012,32.85,76.25,0.016721491228070175,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,80,10800.0
C4_CampusEvent_IngressEgress__TP10_Storm,80,17.76287398005442,3149.1673770491807,12.255555555555556,2206.0,4.895738893925658,19.55,0.5050632911392405,0.6075949367088608,33.104166666666664,74.0,0.016772438803263828,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,80,10800.0
