,world_area,aspect_ratio,N,nrofHostGroups,density,mm_WDM,mm_RWP,mm_MapRoute,speed_mean,wait_mean,contact_rate_proxy,event_interval_mean,nrof_event_generators,pattern_burst,pattern_hub_target,transmitRange,Scenario.endTime
U1_CBD_Commuting_HelsinkiMedium__TP01_Baseline,0.6735141798607409,0.8064767561879899,1.140372287767012,0.27201675923046725,-0.2793367277648099,2.3788224600201455,-1.4679569683130065,-0.26707557933919207,1.5439744121295071,-0.5623916956403991,-0.16888911590261219,-0.0983816091818233,-0.30130188894666443,-0.3013018889466647,-0.704408534652572,-0.19134591386045557,0.19943821368185446
U1_CBD_Commuting_HelsinkiMedium__TP02_LowLoad,0.6735141798607409,0.8064767561879899,1.140372287767012,0.27201675923046725,-0.2793367277648099,2.3788224600201455,-1.4679569683130065,-0.26707557933919207,1.5439744121295071,-0.5623916956403991,-0.16888911590261219,2.8841345428566094,-0.30130188894666443,-0.3013018889466647,-0.704408534652572,-0.19134591386045557,0.19943821368185446
U1_CBD_Commuting_HelsinkiMedium__TP03_ManySmall,0.6735141798607409,0.8064767561879899,1.140372287767012,0.27201675923046725,-0.2793367277648099,2.3788224600201455,-1.4679569683130065,-0.26707557933919207,1.5439744121295071,-0.5623916956403991,-0.16888911590261219,-0.6783153054115186,-0.30130188894666443,-0.3013018889466647,-0.704408534652572,-0.19134591386045557,0.19943821368185446
U1_CBD_Commuting_HelsinkiMedium__TP04_FewLarge,0.6735141798607409,0.8064767561879899,1.140372287767012,0.27201675923046725,-0.2793367277648099,2.3788224600201455,-1.4679569683130065,-0.26707557933919207,1.5439744121295071,-0.5623916956403991,-0.16888911590261219,1.1443334541675236,-0.30130188894666443,-0.3013018889466647,-0.704408534652572,-0.19134591386045557,0.19943821368185446
U1_CBD_Commuting_HelsinkiMedium__TP05_CriticalTTL,0.6735141798607409,0.8064767561879899,1.140372287767012,0.27201675923046725,-0.2793367277648099,2.3788224600201455,-1.4679569683130065,-0.26707557933919207,1.5439744121295071,-0.5623916956403991,-0.16888911590261219,-0.0983816091818233,-0.30130188894666443,-0.3013018889466647,-0.704408534652572,-0.19134591386045557,0.19943821368185446
U1_CBD_Commuting_HelsinkiMedium__TP06_OneToMany,0.6735141798607409,0.8064767561879899,1.140372287767012,0.27201675923046725,-0.2793367277648099,2.3788224600201455,-1.4679569683130065,-0.26707557933919207,1.5439744121295071,-0.5623916956403991,-0.16888911590261219,-0.4711961281866274,-0.30130188894666443,-0.3013018889466647,1.4176590174388586,-0.19134591386045557,0.19943821368185446
U1_CBD_Commuting_HelsinkiMedium__TP07_BurstWindow,0.6735141798607409,0.8064767561879899,1.140372287767012,0.27201675923046725,-0.2793367277648099,2.3788224600201455,-1.4679569683130065,-0.26707557933919207,1.5439744121295071,-0.5623916956403991,-0.16888911590261219,-0.761162976301475,-0.30130188894666443,3.3143207784133115,-0.704408534652572,-0.19134591386045557,0.19943821368185446
U1_CBD_Commuting_HelsinkiMedium__TP08_HubTarget,0.6735141798607409,0.8064767561879899,1.140372287767012,0.27201675923046725,-0.2793367277648099,2.3788224600201455,-1.4679569683130065,-0.26707557933919207,1.5439744121295071,-0.5623916956403991,-0.16888911590261219,-0.4711961281866274,-0.30130188894666443,-0.3013018889466647,1.4176590174388586,-0.19134591386045557,0.19943821368185446
U1_CBD_Commuting_HelsinkiMedium__TP09_Bimodal,0.6735141798607409,0.8064767561879899,1.140372287767012,0.27201675923046725,-0.2793367277648099,2.3788224600201455,-1.4679569683130065,-0.26707557933919207,1.5439744121295071,-0.5623916956403991,-0.16888911590261219,-0.0983816091818233,3.314320778413312,-0.3013018889466647,-0.704408534652572,-0.19134591386045557,0.19943821368185446
U1_CBD_Commuting_HelsinkiMedium__TP10_Storm,0.6735141798607409,0.8064767561879899,1.140372287767012,0.27201675923046725,-0.2793367277648099,2.3788224600201455,-1.4679569683130065,-0.26707557933919207,1.5439744121295071,-0.5623916956403991,-0.16888911590261219,-0.7818748940239642,-0.30130188894666443,-0.3013018889466647,-0.704408534652572,-0.19134591386045557,0.19943821368185446
