scenario,delivery_ratio,latency_mean,overhead_ratio,drop_ratio
C1_Campus_ClassChange__TP01_Baseline,2.5683219815620384,-1.2121031235980062,-0.12187232390533895,-0.1888342039557479
C1_Campus_ClassChange__TP02_LowLoad,2.553400732424192,-1.2104121811244044,-0.12087577313593309,-0.1888342039557479
C1_Campus_ClassChange__TP03_ManySmall,2.5210713592921907,-1.2043012352573785,-0.12065750344697358,-0.1888342039557479
C1_Campus_ClassChange__TP04_FewLarge,1.3188450001856986,-1.0718414991835477,0.540774238717623,2.0917122596457225
C1_Campus_ClassChange__TP05_CriticalTTL,-0.7971302346955862,-1.3855047068845472,-0.13547759226331726,-0.17124388063320548
C1_Campus_ClassChange__TP06_OneToMany,2.5008210926051135,-1.2086742163339017,-0.10514327628024184,-0.10321383813947631
C1_Campus_ClassChange__TP07_BurstWindow,2.665665368794656,-1.1833068967616218,-0.12072252995158105,-0.1888342039557479
C1_Campus_ClassChange__TP08_HubTarget,2.1967118244623363,-1.143526340304444,0.29699692401102595,1.8238896071565645
C1_Campus_ClassChange__TP09_Bimodal,1.5167291851804727,-1.0478169654523082,0.3507241724732964,1.6474960582988796
C1_Campus_ClassChange__TP10_Storm,1.8300754170752502,-1.1344816576569943,-0.1368744869345835,0.10318133522349773
C1_Campus_ClassChange__TP11_ManyToOne,2.526400376841422,-1.2140443483204404,-0.08188619435404611,0.02148926161712088
C1_Campus_ClassChange__TP12_GroupToGroup,2.5274661803512677,-1.206169020479428,-0.12011582482907482,-0.1888342039557479
C2_ExamDay_LongStays__TP01_Baseline,2.1643824513303356,-0.670967711577702,-0.13877984186476833,-0.1888342039557479
C2_ExamDay_LongStays__TP02_LowLoad,2.2542652139940302,-0.6577261893803588,-0.13950672850301893,-0.1888342039557479
C2_ExamDay_LongStays__TP03_ManySmall,2.149461202192489,-0.674709040131728,-0.13948855241980335,-0.1888342039557479
C2_ExamDay_LongStays__TP04_FewLarge,0.8402992242647633,-0.5566452396429437,0.18341708704283527,0.7152979174556761
C2_ExamDay_LongStays__TP05_CriticalTTL,-0.8649863914891263,-1.390154791944435,-0.14161452739453587,-0.178727714641415
C2_ExamDay_LongStays__TP06_OneToMany,2.1750404864287973,-0.530186630131602,-0.13099546415657906,-0.14826377814513866
C2_ExamDay_LongStays__TP07_BurstWindow,2.665665368794656,-0.7437477128426933,-0.13952537465735215,-0.1888342039557479
C2_ExamDay_LongStays__TP08_HubTarget,1.5963091805823209,-0.5480484489466096,0.11715570560932531,0.8031768175920362
C2_ExamDay_LongStays__TP09_Bimodal,1.1561323310158482,-0.45309230769215775,0.15207869915247166,0.7543419148673595
C2_ExamDay_LongStays__TP10_Storm,-0.14166107614018486,-1.1052143715794351,-0.14256704816925572,-0.11045008849943977
C2_ExamDay_LongStays__TP11_ManyToOne,1.9771563014340232,-0.6207985808591676,-0.11998514505836973,-0.125767575664661
C2_ExamDay_LongStays__TP12_GroupToGroup,2.1714878080626434,-0.6893181741194703,-0.13815198354196812,-0.1888342039557479
C3_Hackathon_24h__TP01_Baseline,1.6041250729878598,0.4331661434256629,0.06274434698050997,0.6435203767096314
