map_id,archetype,source_type,anchor_id,validation_status,distance_to_nearest_selected,is_selected
OSM_dieselnet_amherst_offset_e_1000m_1000m_0483,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,1.2697388372249112,False
OSM_dieselnet_amherst_offset_e_1000m_1000m_1070,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,1.2509317524492813,False
OSM_dieselnet_amherst_offset_e_1000m_1500m_0330,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,1.4894778589039792,False
OSM_dieselnet_amherst_offset_e_1000m_1500m_0919,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,1.613924043653964,False
OSM_dieselnet_amherst_offset_e_1000m_200m_0192,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,0.5928553767974255,False
OSM_dieselnet_amherst_offset_e_1000m_200m_0774,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,0.5173247170984825,False
OSM_dieselnet_amherst_offset_e_1000m_500m_0054,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,0.0,True
OSM_dieselnet_amherst_offset_e_1000m_500m_0632,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,0.14223087587073707,False
OSM_dieselnet_amherst_offset_e_1500m_1000m_0113,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,1.4998574451129039,False
OSM_dieselnet_amherst_offset_e_1500m_1000m_0688,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,1.463633758488417,False
OSM_dieselnet_amherst_offset_e_1500m_1500m_0537,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,2.2593951340416716,False
OSM_dieselnet_amherst_offset_e_1500m_1500m_1127,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,2.2391127302531557,False
OSM_dieselnet_amherst_offset_e_1500m_200m_0385,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,1.0629469934525784,False
OSM_dieselnet_amherst_offset_e_1500m_200m_0982,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,1.0297794542866563,False
OSM_dieselnet_amherst_offset_e_1500m_500m_0249,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,1.015172360632722,False
OSM_dieselnet_amherst_offset_e_1500m_500m_0833,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,0.979162207215977,False
OSM_dieselnet_amherst_offset_e_2500m_1000m_0308,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,0.14384838778926534,False
OSM_dieselnet_amherst_offset_e_2500m_1000m_0896,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,0.0,True
OSM_dieselnet_amherst_offset_e_2500m_1500m_0161,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,0.8021308240206546,False
OSM_dieselnet_amherst_offset_e_2500m_1500m_0741,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,0.8048924008758707,False
OSM_dieselnet_amherst_offset_e_2500m_200m_0028,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,0.6726416073437169,False
OSM_dieselnet_amherst_offset_e_2500m_200m_0599,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,0.673827612355039,False
OSM_dieselnet_amherst_offset_e_2500m_200m_1193,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,0.698866678492623,False
OSM_dieselnet_amherst_offset_e_2500m_500m_0449,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,0.6334437494705537,False
OSM_dieselnet_amherst_offset_e_2500m_500m_1036,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,0.6267665463803093,False
OSM_dieselnet_amherst_offset_e_5000m_1000m_0507,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,0.0,True
OSM_dieselnet_amherst_offset_e_5000m_1000m_1095,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,0.07159369495022315,False
