scenario,cluster
C2_ExamDay_LongStays__TP01_Baseline,5
C2_ExamDay_LongStays__TP02_LowLoad,5
C2_ExamDay_LongStays__TP03_ManySmall,5
C2_ExamDay_LongStays__TP04_FewLarge,5
C2_ExamDay_LongStays__TP05_CriticalTTL,5
C2_ExamDay_LongStays__TP06_OneToMany,5
C2_ExamDay_LongStays__TP07_BurstWindow,5
C2_ExamDay_LongStays__TP08_HubTarget,5
C2_ExamDay_LongStays__TP09_Bimodal,5
C2_ExamDay_LongStays__TP10_Storm,5
C2_ExamDay_LongStays__TP11_ManyToOne,5
C2_ExamDay_LongStays__TP12_GroupToGroup,5
C3_Hackathon_24h__TP01_Baseline,5
C3_Hackathon_24h__TP02_LowLoad,5
C3_Hackathon_24h__TP03_ManySmall,5
C3_Hackathon_24h__TP04_FewLarge,5
C3_Hackathon_24h__TP05_CriticalTTL,5
C3_Hackathon_24h__TP06_OneToMany,5
C3_Hackathon_24h__TP07_BurstWindow,5
C3_Hackathon_24h__TP08_HubTarget,5
C3_Hackathon_24h__TP09_Bimodal,5
C3_Hackathon_24h__TP10_Storm,5
C3_Hackathon_24h__TP11_ManyToOne,5
C3_Hackathon_24h__TP12_GroupToGroup,5
C4_Stadium_IngressEgress__TP01_Baseline,5
C4_Stadium_IngressEgress__TP02_LowLoad,4
C4_Stadium_IngressEgress__TP03_ManySmall,5
C4_Stadium_IngressEgress__TP04_FewLarge,4
C4_Stadium_IngressEgress__TP05_CriticalTTL,5
C4_Stadium_IngressEgress__TP06_OneToMany,5
C4_Stadium_IngressEgress__TP07_BurstWindow,5
C4_Stadium_IngressEgress__TP08_HubTarget,5
C4_Stadium_IngressEgress__TP09_Bimodal,5
C4_Stadium_IngressEgress__TP10_Storm,5
C4_Stadium_IngressEgress__TP11_ManyToOne,5
C4_Stadium_IngressEgress__TP12_GroupToGroup,5
C5_Library_Quiet__TP01_Baseline,5
C5_Library_Quiet__TP02_LowLoad,5
C5_Library_Quiet__TP03_ManySmall,5
C5_Library_Quiet__TP04_FewLarge,5
C5_Library_Quiet__TP05_CriticalTTL,5
C5_Library_Quiet__TP06_OneToMany,5
C5_Library_Quiet__TP07_BurstWindow,5
C5_Library_Quiet__TP08_HubTarget,5
C5_Library_Quiet__TP09_Bimodal,5
C5_Library_Quiet__TP10_Storm,5
C5_Library_Quiet__TP11_ManyToOne,5
C5_Library_Quiet__TP12_GroupToGroup,5
C6_EmergencyDrill_Evacuation__TP01_Baseline,6
C6_EmergencyDrill_Evacuation__TP02_LowLoad,6
C6_EmergencyDrill_Evacuation__TP03_ManySmall,6
C6_EmergencyDrill_Evacuation__TP04_FewLarge,6
C6_EmergencyDrill_Evacuation__TP05_CriticalTTL,6
C6_EmergencyDrill_Evacuation__TP06_OneToMany,6
C6_EmergencyDrill_Evacuation__TP07_BurstWindow,6
C6_EmergencyDrill_Evacuation__TP08_HubTarget,6
C6_EmergencyDrill_Evacuation__TP09_Bimodal,6
C6_EmergencyDrill_Evacuation__TP10_Storm,6
C6_EmergencyDrill_Evacuation__TP11_ManyToOne,6
C6_EmergencyDrill_Evacuation__TP12_GroupToGroup,6
V1_TaxiLow_HelsinkiMedium__TP01_Baseline,2
V1_TaxiLow_HelsinkiMedium__TP02_LowLoad,2
V1_TaxiLow_HelsinkiMedium__TP03_ManySmall,2
V1_TaxiLow_HelsinkiMedium__TP04_FewLarge,2
V1_TaxiLow_HelsinkiMedium__TP05_CriticalTTL,2
V1_TaxiLow_HelsinkiMedium__TP06_OneToMany,2
V1_TaxiLow_HelsinkiMedium__TP07_BurstWindow,2
V1_TaxiLow_HelsinkiMedium__TP08_HubTarget,2
V1_TaxiLow_HelsinkiMedium__TP09_Bimodal,2
V1_TaxiLow_HelsinkiMedium__TP10_Storm,2
V1_TaxiLow_HelsinkiMedium__TP11_ManyToOne,2
V1_TaxiLow_HelsinkiMedium__TP12_GroupToGroup,2
V2_TaxiHigh_HelsinkiMedium__TP01_Baseline,2
V2_TaxiHigh_HelsinkiMedium__TP02_LowLoad,2
V2_TaxiHigh_HelsinkiMedium__TP03_ManySmall,2
V2_TaxiHigh_HelsinkiMedium__TP04_FewLarge,2
V2_TaxiHigh_HelsinkiMedium__TP05_CriticalTTL,2
V2_TaxiHigh_HelsinkiMedium__TP06_OneToMany,2
V2_TaxiHigh_HelsinkiMedium__TP07_BurstWindow,2
V2_TaxiHigh_HelsinkiMedium__TP08_HubTarget,2
V2_TaxiHigh_HelsinkiMedium__TP09_Bimodal,2
V2_TaxiHigh_HelsinkiMedium__TP10_Storm,2
V2_TaxiHigh_HelsinkiMedium__TP11_ManyToOne,2
V2_TaxiHigh_HelsinkiMedium__TP12_GroupToGroup,2
V3_BusOnlyCarriers_HelsinkiMedium__TP01_Baseline,5
V3_BusOnlyCarriers_HelsinkiMedium__TP02_LowLoad,4
V3_BusOnlyCarriers_HelsinkiMedium__TP03_ManySmall,5
V3_BusOnlyCarriers_HelsinkiMedium__TP04_FewLarge,4
V3_BusOnlyCarriers_HelsinkiMedium__TP05_CriticalTTL,5
V3_BusOnlyCarriers_HelsinkiMedium__TP06_OneToMany,5
V3_BusOnlyCarriers_HelsinkiMedium__TP07_BurstWindow,5
V3_BusOnlyCarriers_HelsinkiMedium__TP08_HubTarget,5
V3_BusOnlyCarriers_HelsinkiMedium__TP09_Bimodal,5
V3_BusOnlyCarriers_HelsinkiMedium__TP10_Storm,5
V3_BusOnlyCarriers_HelsinkiMedium__TP11_ManyToOne,5
V3_BusOnlyCarriers_HelsinkiMedium__TP12_GroupToGroup,5
V4_CarOwnership_0_HelsinkiMedium__TP01_Baseline,7
V4_CarOwnership_0_HelsinkiMedium__TP02_LowLoad,7
V4_CarOwnership_0_HelsinkiMedium__TP03_ManySmall,7
V4_CarOwnership_0_HelsinkiMedium__TP04_FewLarge,7
V4_CarOwnership_0_HelsinkiMedium__TP05_CriticalTTL,7
V4_CarOwnership_0_HelsinkiMedium__TP06_OneToMany,7
V4_CarOwnership_0_HelsinkiMedium__TP07_BurstWindow,7
V4_CarOwnership_0_HelsinkiMedium__TP08_HubTarget,7
V4_CarOwnership_0_HelsinkiMedium__TP09_Bimodal,7
V4_CarOwnership_0_HelsinkiMedium__TP10_Storm,7
V4_CarOwnership_0_HelsinkiMedium__TP11_ManyToOne,7
V4_CarOwnership_0_HelsinkiMedium__TP12_GroupToGroup,7
V5_CarOwnership_100_HelsinkiMedium__TP01_Baseline,7
V5_CarOwnership_100_HelsinkiMedium__TP02_LowLoad,7
V5_CarOwnership_100_HelsinkiMedium__TP03_ManySmall,7
V5_CarOwnership_100_HelsinkiMedium__TP04_FewLarge,7
