scenario,family,scenario_base,tp,map_dataset,movement_models,n_hosts,delivery_ratio,overhead_ratio,drop_ratio,total_encounters,coverage_world_ratio,coverage_accessible_ratio,delivery_std_by_base,problem_flags,priority,recommended_action_hint
U4_CongestionHotspot_HelsinkiDowntown__TP10_Storm,01_urban,U4_CongestionHotspot_HelsinkiDowntown,TP10,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.0584,167.1806,10.67018170019468,2199.0,0.248,1.0,0.190393555722367,EXTREME_OVERHEAD|MAP_TOO_LARGE,P0,change_map_or_worldSize
U4_CongestionHotspot_HelsinkiDowntown__TP11_ManyToOne,01_urban,U4_CongestionHotspot_HelsinkiDowntown,TP11,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.5948,38.3328,0.0,2226.0,0.2516,1.0,0.190393555722367,MAP_TOO_LARGE,P1,change_map_or_worldSize
U4_CongestionHotspot_HelsinkiDowntown__TP12_GroupToGroup,01_urban,U4_CongestionHotspot_HelsinkiDowntown,TP12,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.5685,136.4532,36.81390593047035,2152.0,0.2376,1.0,0.190393555722367,EXTREME_OVERHEAD|MAP_TOO_LARGE,P0,change_map_or_worldSize
U5_WorkdayShort_HelsinkiDowntown__TP01_Baseline,01_urban,U5_WorkdayShort_HelsinkiDowntown,TP01,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.1504,72.6216,0.0,1587.0,0.2464,1.0,0.12501477973229866,MAP_TOO_LARGE,P1,change_map_or_worldSize
U5_WorkdayShort_HelsinkiDowntown__TP02_LowLoad,01_urban,U5_WorkdayShort_HelsinkiDowntown,TP02,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.1875,65.4444,0.0,1587.0,0.2464,1.0,0.12501477973229866,MAP_TOO_LARGE,P1,change_map_or_worldSize
U5_WorkdayShort_HelsinkiDowntown__TP03_ManySmall,01_urban,U5_WorkdayShort_HelsinkiDowntown,TP03,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.1592,73.7989,0.0,1580.0,0.25,1.0,0.12501477973229866,MAP_TOO_LARGE,P1,change_map_or_worldSize
U5_WorkdayShort_HelsinkiDowntown__TP04_FewLarge,01_urban,U5_WorkdayShort_HelsinkiDowntown,TP04,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.1508,371.7778,47.69832402234637,1587.0,0.2464,1.0,0.12501477973229866,EXTREME_OVERHEAD|MAP_TOO_LARGE,P0,change_map_or_worldSize
U5_WorkdayShort_HelsinkiDowntown__TP05_CriticalTTL,01_urban,U5_WorkdayShort_HelsinkiDowntown,TP05,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.0,,1.1808943089430894,1587.0,0.2464,1.0,0.12501477973229866,ZERO_DELIVERY|MAP_TOO_LARGE,P0,redesign_mobility_or_traffic
U5_WorkdayShort_HelsinkiDowntown__TP06_OneToMany,01_urban,U5_WorkdayShort_HelsinkiDowntown,TP06,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.3485,64.932,0.4690721649484536,1587.0,0.2464,1.0,0.12501477973229866,MAP_TOO_LARGE,P1,change_map_or_worldSize
U5_WorkdayShort_HelsinkiDowntown__TP07_BurstWindow,01_urban,U5_WorkdayShort_HelsinkiDowntown,TP07,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.3497,77.1797,0.0,1607.0,0.2596,1.0,0.12501477973229866,MAP_TOO_LARGE,P1,change_map_or_worldSize
