map_id,world_size_x,world_size_y,world_area,bbox_width,bbox_height,useful_area,useful_area_ratio,n_nodes,n_edges,total_road_length_m,road_density,avg_edge_length_m,median_edge_length_m,avg_degree,max_degree,dead_end_ratio,intersection_ratio,n_components,largest_component_ratio,bridge_edges_count,bridge_edges_ratio,articulation_points_count,articulation_points_ratio,graph_diameter_approx,avg_shortest_path_approx,circuity_approx,orientation_entropy,gridness_score,corridor_score,radial_score,partition_score,community_score,tree_like_score,source_type_osm,source_type_synthetic,source_type_trace_reference_synthetic
OSM_cambridge_haggle_offset_n_1000m_1000m_0080,-0.38754847995146585,-0.22305887747381622,-0.35724536653990446,-0.38751166334978754,-0.22336421194257705,-0.3574356856255644,0.4061874496369366,-0.11173190799850717,-0.11678422384898984,-0.14196022347273632,0.18345309967759355,-0.4799175511362215,-0.455660153382821,-0.4053341193234685,-0.18905898256419623,0.007791201661615681,-0.6391521265330058,-0.22721023660759615,0.23748430435980666,0.07015000201638591,0.08887552558008266,0.05459537814945118,0.40860479779359643,-0.3709559092714628,-0.33041440686433216,-0.0038998367652812926,0.9401481849184405,-0.7029429025063697,-0.15314891292916627,0.42309415426986785,-0.2399155645792876,0.5160010962749357,0.43852171574360466,1,0,0
OSM_cambridge_haggle_offset_n_1000m_1000m_0534,-0.38754847995146585,-0.22305887747381622,-0.35724536653990446,-0.38751166334978754,-0.22336421194257705,-0.3574356856255644,0.4061874496369366,-0.11173190799850717,-0.11678422384898984,-0.14196022347273632,0.18345309967759355,-0.4799175511362215,-0.455660153382821,-0.4053341193234685,-0.18905898256419623,0.007791201661615681,-0.6391521265330058,-0.22721023660759615,0.23748430435980666,0.07015000201638591,0.08887552558008266,0.05459537814945118,0.40860479779359643,-0.3709559092714628,-0.4039499744060402,-0.04127916741507921,0.9401481849184405,-0.7029429025063697,-0.15314891292916627,0.42309415426986785,-0.2399155645792876,0.5160010962749357,0.43852171574360466,1,0,0
OSM_cambridge_haggle_offset_n_1000m_1000m_1006,-0.38754847995146585,-0.22305887747381622,-0.35724536653990446,-0.38751166334978754,-0.22336421194257705,-0.3574356856255644,0.4061874496369366,-0.11173190799850717,-0.11678422384898984,-0.14196022347273632,0.18345309967759355,-0.4799175511362215,-0.455660153382821,-0.4053341193234685,-0.18905898256419623,0.007791201661615681,-0.6391521265330058,-0.22721023660759615,0.23748430435980666,0.07015000201638591,0.08887552558008266,0.05459537814945118,0.40860479779359643,-0.3709559092714628,-0.257915012404271,0.11498109326211478,0.9401481849184405,-0.7029429025063697,-0.15314891292916627,0.42309415426986785,-0.2399155645792876,0.5160010962749357,0.43852171574360466,1,0,0
OSM_cambridge_haggle_offset_n_1000m_1500m_0422,-0.39036314089634905,-0.23663291953697782,-0.36045614651787017,-0.39023490627640234,-0.23670529504873308,-0.3604855495000607,0.4027842640873673,-0.1855889759598431,-0.18473116633225342,-0.19849007965343157,-0.048646159231419024,-0.46295983414672437,-0.45221740146929285,-0.390699245745741,-0.3752800533100592,-0.11622227689140646,-0.5903093731033041,-0.22721023660759615,0.23748430435980666,-0.15611253428517846,-0.19550769115067518,-0.1561792479714597,-0.00813102767522844,-0.11120268713528461,-0.2541411609700629,0.2889782127966638,0.7884894661445327,-0.30541703677901094,-0.1522263289648687,0.36905901217571485,-0.2399155645792876,0.4294476448357111,0.33281099605077874,1,0,0
OSM_cambridge_haggle_offset_n_1000m_1500m_0891,-0.39036314089634905,-0.23663291953697782,-0.36045614651787017,-0.39023490627640234,-0.23670529504873308,-0.3604855495000607,0.4027842640873673,-0.1855889759598431,-0.18473116633225342,-0.19849007965343157,-0.048646159231419024,-0.46295983414672437,-0.45221740146929285,-0.390699245745741,-0.3752800533100592,-0.11622227689140646,-0.5903093731033041,-0.22721023660759615,0.23748430435980666,-0.15611253428517846,-0.19550769115067518,-0.1561792479714597,-0.00813102767522844,-0.11120268713528461,-0.3003108520712271,0.024977528481817477,0.7884894661445327,-0.30541703677901094,-0.1522263289648687,0.36905901217571485,-0.2399155645792876,0.4294476448357111,0.33281099605077874,1,0,0
OSM_cambridge_haggle_offset_n_1000m_200m_0307,-0.38403015377036187,-0.22984589850539702,-0.35785139021954887,-0.3839369672083914,-0.23031002174516027,-0.35804418287612877,0.4043237283779709,-0.028160306773788304,-0.04459059746052229,-0.1461365008657513,0.44745805028736835,-0.5114439495004772,-0.4741427205805649,-0.4239276062459912,-0.18905898256419623,0.21291302163794146,-0.6375149392672057,-0.22721023660759615,0.23748430435980666,0.36571065829223015,0.32738515216042974,0.3412135935858363,0.7582902219042004,0.0019779985108531054,-0.28601166354450236,0.28076941861474736,0.9801155702004181,-0.28890960676151906,-0.1538889809439017,0.2117781521516641,-0.2399155645792876,0.6792378687261036,0.6003238377224197,1,0,0
OSM_cambridge_haggle_offset_n_1000m_200m_0772,-0.38403015377036187,-0.22984589850539702,-0.35785139021954887,-0.3839369672083914,-0.23031002174516027,-0.35804418287612877,0.4043237283779709,-0.028160306773788304,-0.04459059746052229,-0.1461365008657513,0.44745805028736835,-0.5114439495004772,-0.4741427205805649,-0.4239276062459912,-0.18905898256419623,0.21291302163794146,-0.6375149392672057,-0.22721023660759615,0.23748430435980666,0.36571065829223015,0.32738515216042974,0.3412135935858363,0.7582902219042004,0.0019779985108531054,-0.26335764785418375,0.34614660084929566,0.9801155702004181,-0.28890960676151906,-0.1538889809439017,0.2117781521516641,-0.2399155645792876,0.6792378687261036,0.6003238377224197,1,0,0
OSM_cambridge_haggle_offset_n_1000m_500m_0191,-0.38754847995146585,-0.21250128920246833,-0.35518949572870356,-0.38733574326408887,-0.2127305617562119,-0.3553944724969053,0.41155181935317103,-0.05424316320698082,-0.0674308703560788,-0.1323780387239407,0.34779458362412025,-0.4995637253128614,-0.4659746704420604,-0.41996899290119605,-0.18905898256419623,0.1400330626778716,-0.6492481146721061,-0.22721023660759615,0.23748430435980666,0.23045408677616586,0.20215826684320515,0.2062825567803996,0.5573233154969233,-0.2111073558279084,-0.2311272114724355,0.5094429708252753,0.9624864516168266,-0.3967132313655484,-0.15373208554875664,0.31019930382315597,-0.2399155645792876,0.6503867182463621,0.5528618819419677,1,0,0
OSM_cambridge_haggle_offset_n_1000m_500m_0657,-0.38754847995146585,-0.21250128920246833,-0.35518949572870356,-0.38733574326408887,-0.2127305617562119,-0.3553944724969053,0.41155181935317103,-0.05424316320698082,-0.0674308703560788,-0.1323780387239407,0.34779458362412025,-0.4995637253128614,-0.4659746704420604,-0.41996899290119605,-0.18905898256419623,0.1400330626778716,-0.6492481146721061,-0.22721023660759615,0.23748430435980666,0.23045408677616586,0.20215826684320515,0.2062825567803996,0.5573233154969233,-0.2111073558279084,-0.3141192217698036,0.004895299858200551,0.9624864516168266,-0.3967132313655484,-0.15373208554875664,0.31019930382315597,-0.2399155645792876,0.6503867182463621,0.5528618819419677,1,0,0
OSM_cambridge_haggle_offset_n_1000m_500m_1125,-0.38754847995146585,-0.21250128920246833,-0.35518949572870356,-0.38733574326408887,-0.2127305617562119,-0.3553944724969053,0.41155181935317103,-0.05424316320698082,-0.0674308703560788,-0.1323780387239407,0.34779458362412025,-0.4995637253128614,-0.4659746704420604,-0.41996899290119605,-0.18905898256419623,0.1400330626778716,-0.6492481146721061,-0.22721023660759615,0.23748430435980666,0.23045408677616586,0.20215826684320515,0.2062825567803996,0.5573233154969233,-0.2111073558279084,-0.2884984789404545,0.2536510806923451,0.9624864516168266,-0.3967132313655484,-0.15373208554875664,0.31019930382315597,-0.2399155645792876,0.6503867182463621,0.5528618819419677,1,0,0
