map_id,batch_target,source_type,anchor_id,archetype,generator_type,validation_status,n_nodes,n_edges,n_components,largest_component_ratio,total_road_length_m,world_size_x,world_size_y,diameter,avg_path_length,clustering_coefficient,orientation_entropy,gridness_score,corridor_score,radial_score,partition_score,community_score
OSM_cambridge_haggle_offset_n_500m_1500m_0112,200,osm,cambridge_haggle,dense_urban_irregular,,PASS,164,181,1,1.0,5411.97,368,521,0,0,0,4.7044,0.4197,1.5808,0.4117,0.0,0.7845
OSM_cambridge_haggle_offset_n_500m_1500m_0565,600,osm,cambridge_haggle,dense_urban_irregular,,PASS,164,181,1,1.0,5411.97,368,521,0,0,0,4.7044,0.4197,1.5808,0.4117,0.0,0.7845
OSM_cambridge_haggle_offset_n_500m_200m_0000,100,osm,cambridge_haggle,dense_urban_irregular,,PASS,676,732,1,1.0,14368.85,547,557,0,0,0,4.9398,0.5264,1.4044,0.7056,0.0,0.8989
OSM_cambridge_haggle_offset_n_500m_200m_0448,600,osm,cambridge_haggle,dense_urban_irregular,,PASS,676,732,1,1.0,14368.85,547,557,0,0,0,4.9398,0.5264,1.4044,0.7056,0.0,0.8989
OSM_cambridge_haggle_offset_n_500m_500m_0328,400,osm,cambridge_haggle,dense_urban_irregular,,PASS,496,532,1,1.0,12472.85,565,541,0,0,0,4.9348,0.3585,3.1183,0.5463,0.0,0.8947
OSM_cambridge_haggle_offset_n_500m_500m_0799,800,osm,cambridge_haggle,dense_urban_irregular,,PASS,496,532,1,1.0,12472.85,565,541,0,0,0,4.9348,0.3585,3.1183,0.5463,0.0,0.8947
OSM_dieselnet_amherst_offset_e_1000m_1000m_0483,600,osm,dieselnet_amherst,bus_route_urban_suburban,,PASS,335,351,1,1.0,17123.0,972,1019,0,0,0,4.5405,0.602,1.2831,0.6324,0.0,0.8775
OSM_dieselnet_amherst_offset_e_1000m_1500m_0330,400,osm,dieselnet_amherst,bus_route_urban_suburban,,PASS,190,195,1,1.0,9973.47,978,852,0,0,0,3.7788,0.7897,3.0115,0.5736,0.0,0.8667
OSM_dieselnet_amherst_offset_e_1000m_200m_0192,200,osm,dieselnet_amherst,bus_route_urban_suburban,,PASS,459,481,1,1.0,17389.93,1028,1051,0,0,0,4.6346,0.543,1.769,0.5442,0.0,0.8919
OSM_dieselnet_amherst_offset_e_1000m_200m_0774,800,osm,dieselnet_amherst,bus_route_urban_suburban,,PASS,459,481,1,1.0,17389.93,1028,1051,0,0,0,4.6346,0.543,1.769,0.5442,0.0,0.8919
OSM_dieselnet_amherst_offset_e_1000m_500m_0054,100,osm,dieselnet_amherst,bus_route_urban_suburban,,PASS,492,515,1,1.0,18266.29,1048,1051,0,0,0,4.7647,0.5199,2.2889,0.5446,0.0,0.901
OSM_dieselnet_amherst_offset_e_1000m_500m_0632,800,osm,dieselnet_amherst,bus_route_urban_suburban,,PASS,492,515,1,1.0,18266.29,1048,1051,0,0,0,4.7647,0.5199,2.2889,0.5446,0.0,0.901
OSM_dieselnet_amherst_offset_e_1500m_1000m_0113,200,osm,dieselnet_amherst,bus_route_urban_suburban,,PASS,834,874,1,1.0,31787.27,1562,1406,0,0,0,4.6833,0.6367,1.0471,0.6603,0.0,0.9108
OSM_dieselnet_amherst_offset_e_1500m_1000m_0688,800,osm,dieselnet_amherst,bus_route_urban_suburban,,PASS,834,874,1,1.0,31787.27,1562,1406,0,0,0,4.6833,0.6367,1.0471,0.6603,0.0,0.9108
OSM_dieselnet_amherst_offset_e_1500m_1500m_0537,600,osm,dieselnet_amherst,bus_route_urban_suburban,,PASS,489,503,1,1.0,20882.57,1379,1406,0,0,0,4.6157,0.6589,1.3337,0.6299,0.0,0.8986
OSM_dieselnet_amherst_offset_e_1500m_200m_0385,400,osm,dieselnet_amherst,bus_route_urban_suburban,,PASS,896,948,1,1.0,33726.47,1546,1519,0,0,0,4.7362,0.522,1.9559,0.572,0.0,0.9135
OSM_dieselnet_amherst_offset_e_1500m_500m_0249,400,osm,dieselnet_amherst,bus_route_urban_suburban,,PASS,928,980,1,1.0,36489.13,1534,1519,0,0,0,4.7671,0.558,1.7071,0.5403,0.0,0.9092
OSM_dieselnet_amherst_offset_e_2500m_1000m_0308,400,osm,dieselnet_amherst,bus_route_urban_suburban,,PASS,2009,2093,1,1.0,77366.43,2482,2555,0,0,0,4.8136,0.5973,1.1664,0.6129,0.0,0.9312
OSM_dieselnet_amherst_offset_e_2500m_1500m_0161,200,osm,dieselnet_amherst,bus_route_urban_suburban,,PASS,1597,1657,1,1.0,59395.79,2013,2475,0,0,0,4.72,0.6404,1.2359,0.6353,0.0,0.9282
OSM_dieselnet_amherst_offset_e_2500m_1500m_0741,800,osm,dieselnet_amherst,bus_route_urban_suburban,,PASS,1597,1657,1,1.0,59395.79,2013,2475,0,0,0,4.72,0.6404,1.2359,0.6353,0.0,0.9282
OSM_dieselnet_amherst_offset_e_2500m_200m_0028,100,osm,dieselnet_amherst,bus_route_urban_suburban,,PASS,2100,2203,1,1.0,82316.17,2715,2555,0,0,0,4.8125,0.5771,1.1582,0.5802,0.0,0.9305
OSM_dieselnet_amherst_offset_e_2500m_200m_0599,600,osm,dieselnet_amherst,bus_route_urban_suburban,,PASS,2100,2203,1,1.0,82316.17,2715,2555,0,0,0,4.8125,0.5771,1.1582,0.5802,0.0,0.9305
OSM_dieselnet_amherst_offset_e_2500m_500m_0449,600,osm,dieselnet_amherst,bus_route_urban_suburban,,PASS,2060,2160,1,1.0,79056.0,2534,2555,0,0,0,4.8001,0.5879,1.1544,0.5692,0.0,0.9296
OSM_dieselnet_amherst_offset_e_5000m_1000m_0507,600,osm,dieselnet_amherst,bus_route_urban_suburban,,PASS,5020,5200,1,1.0,174246.75,5069,4956,0,0,0,4.9652,0.5218,1.6954,0.4796,0.0,0.9579
OSM_dieselnet_amherst_offset_e_5000m_1500m_0356,400,osm,dieselnet_amherst,bus_route_urban_suburban,,PASS,5337,5526,1,1.0,173731.77,5005,4955,0,0,0,4.999,0.509,3.0833,0.5518,0.0,0.9606
OSM_dieselnet_amherst_offset_e_5000m_200m_0223,400,osm,dieselnet_amherst,bus_route_urban_suburban,,PASS,5080,5259,1,1.0,182427.75,4952,5083,0,0,0,4.918,0.5409,1.3024,0.5473,0.0,0.9568
OSM_dieselnet_amherst_offset_e_5000m_500m_0083,100,osm,dieselnet_amherst,bus_route_urban_suburban,,PASS,4939,5115,1,1.0,177846.76,5114,4956,0,0,0,4.9172,0.5418,1.2178,0.5199,0.0,0.9568
OSM_dieselnet_amherst_offset_e_5000m_500m_0660,800,osm,dieselnet_amherst,bus_route_urban_suburban,,PASS,4939,5115,1,1.0,177846.76,5114,4956,0,0,0,4.9172,0.5418,1.2178,0.5199,0.0,0.9568
OSM_dieselnet_amherst_offset_e_500m_200m_0001,100,osm,dieselnet_amherst,bus_route_urban_suburban,,PASS,82,82,1,1.0,3419.87,533,515,0,0,0,3.9012,0.7832,1.9901,0.6504,0.0,0.8171
OSM_dieselnet_amherst_offset_e_500m_200m_0566,600,osm,dieselnet_amherst,bus_route_urban_suburban,,PASS,82,82,1,1.0,3419.87,533,515,0,0,0,3.9012,0.7832,1.9901,0.6504,0.0,0.8171
OSM_dieselnet_amherst_offset_e_500m_500m_0423,600,osm,dieselnet_amherst,bus_route_urban_suburban,,PASS,153,160,1,1.0,2920.99,362,515,0,0,0,4.4145,0.5374,3.7375,0.5005,0.0,0.8812
OSM_helsinki_archipelago_offset_s_1000m_1000m_0056,100,osm,helsinki_archipelago,island_or_partitioned,,PASS,1634,1857,1,1.0,37347.33,684,891,0,0,0,4.9152,0.2709,3.3867,0.5532,0.0,0.9063
OSM_helsinki_archipelago_offset_s_1000m_1000m_0162,200,osm,helsinki_archipelago,island_or_partitioned,,PASS,1634,1857,1,1.0,37347.33,684,891,0,0,0,4.9152,0.2709,3.3867,0.5532,0.0,0.9063
OSM_helsinki_archipelago_offset_s_1000m_1000m_0280,400,osm,helsinki_archipelago,island_or_partitioned,,PASS,1634,1857,1,1.0,37347.33,684,891,0,0,0,4.9152,0.2709,3.3867,0.5532,0.0,0.9063
OSM_helsinki_archipelago_offset_s_1000m_1000m_0387,400,osm,helsinki_archipelago,island_or_partitioned,,PASS,1634,1857,1,1.0,37347.33,684,891,0,0,0,4.9152,0.2709,3.3867,0.5532,0.0,0.9063
OSM_helsinki_archipelago_offset_s_1000m_1000m_0508,600,osm,helsinki_archipelago,island_or_partitioned,,PASS,1634,1857,1,1.0,37347.33,684,891,0,0,0,4.9152,0.2709,3.3867,0.5532,0.0,0.9063
OSM_helsinki_archipelago_offset_s_1000m_1000m_0633,800,osm,helsinki_archipelago,island_or_partitioned,,PASS,1634,1857,1,1.0,37347.33,684,891,0,0,0,4.9152,0.2709,3.3867,0.5532,0.0,0.9063
OSM_helsinki_archipelago_offset_s_1000m_1000m_0742,800,osm,helsinki_archipelago,island_or_partitioned,,PASS,1634,1857,1,1.0,37347.33,684,891,0,0,0,4.9152,0.2709,3.3867,0.5532,0.0,0.9063
OSM_helsinki_archipelago_offset_s_1000m_1500m_0085,100,osm,helsinki_archipelago,island_or_partitioned,,PASS,342,381,1,1.0,7540.96,395,392,0,0,0,4.7685,0.1828,4.9731,0.3853,0.0,0.8793
OSM_helsinki_archipelago_offset_s_1000m_1500m_0193,200,osm,helsinki_archipelago,island_or_partitioned,,PASS,342,381,1,1.0,7540.96,395,392,0,0,0,4.7685,0.1828,4.9731,0.3853,0.0,0.8793
OSM_helsinki_archipelago_offset_s_1000m_1500m_0309,400,osm,helsinki_archipelago,island_or_partitioned,,PASS,342,381,1,1.0,7540.96,395,392,0,0,0,4.7685,0.1828,4.9731,0.3853,0.0,0.8793
OSM_helsinki_archipelago_offset_s_1000m_1500m_0426,600,osm,helsinki_archipelago,island_or_partitioned,,PASS,342,381,1,1.0,7540.96,395,392,0,0,0,4.7685,0.1828,4.9731,0.3853,0.0,0.8793
OSM_helsinki_archipelago_offset_s_1000m_1500m_0538,600,osm,helsinki_archipelago,island_or_partitioned,,PASS,342,381,1,1.0,7540.96,395,392,0,0,0,4.7685,0.1828,4.9731,0.3853,0.0,0.8793
OSM_helsinki_archipelago_offset_s_1000m_1500m_0661,800,osm,helsinki_archipelago,island_or_partitioned,,PASS,342,381,1,1.0,7540.96,395,392,0,0,0,4.7685,0.1828,4.9731,0.3853,0.0,0.8793
OSM_helsinki_archipelago_offset_s_1000m_1500m_0776,800,osm,helsinki_archipelago,island_or_partitioned,,PASS,342,381,1,1.0,7540.96,395,392,0,0,0,4.7685,0.1828,4.9731,0.3853,0.0,0.8793
OSM_helsinki_archipelago_offset_s_1000m_200m_0003,100,osm,helsinki_archipelago,island_or_partitioned,,PASS,4656,5333,1,1.0,95249.19,1068,1056,0,0,0,4.5682,0.4154,1.6845,0.562,0.0,0.9297
OSM_helsinki_archipelago_offset_s_1000m_200m_0114,200,osm,helsinki_archipelago,island_or_partitioned,,PASS,4656,5333,1,1.0,95249.19,1068,1056,0,0,0,4.5682,0.4154,1.6845,0.562,0.0,0.9297
OSM_helsinki_archipelago_offset_s_1000m_200m_0224,400,osm,helsinki_archipelago,island_or_partitioned,,PASS,4656,5333,1,1.0,95249.19,1068,1056,0,0,0,4.5682,0.4154,1.6845,0.562,0.0,0.9297
OSM_helsinki_archipelago_offset_s_1000m_200m_0331,400,osm,helsinki_archipelago,island_or_partitioned,,PASS,4656,5333,1,1.0,95249.19,1068,1056,0,0,0,4.5682,0.4154,1.6845,0.562,0.0,0.9297
OSM_helsinki_archipelago_offset_s_1000m_200m_0454,600,osm,helsinki_archipelago,island_or_partitioned,,PASS,4656,5333,1,1.0,95249.19,1068,1056,0,0,0,4.5682,0.4154,1.6845,0.562,0.0,0.9297
OSM_helsinki_archipelago_offset_s_1000m_200m_0572,600,osm,helsinki_archipelago,island_or_partitioned,,PASS,4656,5333,1,1.0,95249.19,1068,1056,0,0,0,4.5682,0.4154,1.6845,0.562,0.0,0.9297
OSM_helsinki_archipelago_offset_s_1000m_200m_0689,800,osm,helsinki_archipelago,island_or_partitioned,,PASS,4656,5333,1,1.0,95249.19,1068,1056,0,0,0,4.5682,0.4154,1.6845,0.562,0.0,0.9297
OSM_helsinki_archipelago_offset_s_1000m_500m_0030,100,osm,helsinki_archipelago,island_or_partitioned,,PASS,3230,3659,1,1.0,65762.16,750,1047,0,0,0,4.8807,0.3478,2.1854,0.6102,0.0,0.9248
OSM_helsinki_archipelago_offset_s_1000m_500m_0141,200,osm,helsinki_archipelago,island_or_partitioned,,PASS,3230,3659,1,1.0,65762.16,750,1047,0,0,0,4.8807,0.3478,2.1854,0.6102,0.0,0.9248
OSM_helsinki_archipelago_offset_s_1000m_500m_0252,400,osm,helsinki_archipelago,island_or_partitioned,,PASS,3230,3659,1,1.0,65762.16,750,1047,0,0,0,4.8807,0.3478,2.1854,0.6102,0.0,0.9248
OSM_helsinki_archipelago_offset_s_1000m_500m_0357,400,osm,helsinki_archipelago,island_or_partitioned,,PASS,3230,3659,1,1.0,65762.16,750,1047,0,0,0,4.8807,0.3478,2.1854,0.6102,0.0,0.9248
OSM_helsinki_archipelago_offset_s_1000m_500m_0484,600,osm,helsinki_archipelago,island_or_partitioned,,PASS,3230,3659,1,1.0,65762.16,750,1047,0,0,0,4.8807,0.3478,2.1854,0.6102,0.0,0.9248
OSM_helsinki_archipelago_offset_s_1000m_500m_0601,800,osm,helsinki_archipelago,island_or_partitioned,,PASS,3230,3659,1,1.0,65762.16,750,1047,0,0,0,4.8807,0.3478,2.1854,0.6102,0.0,0.9248
OSM_helsinki_archipelago_offset_s_1000m_500m_0714,800,osm,helsinki_archipelago,island_or_partitioned,,PASS,3230,3659,1,1.0,65762.16,750,1047,0,0,0,4.8807,0.3478,2.1854,0.6102,0.0,0.9248
OSM_helsinki_disrupted_offset_w_1000m_1000m_0057,100,osm,helsinki_disrupted,industrial_disrupted,,PASS,5613,6585,1,1.0,126548.76,1087,1065,0,0,0,4.964,0.3323,1.3585,0.5382,0.0,0.9283
OSM_helsinki_disrupted_offset_w_1000m_1000m_0166,200,osm,helsinki_disrupted,industrial_disrupted,,PASS,5613,6585,1,1.0,126548.76,1087,1065,0,0,0,4.964,0.3323,1.3585,0.5382,0.0,0.9283
OSM_helsinki_disrupted_offset_w_1000m_1000m_0285,400,osm,helsinki_disrupted,industrial_disrupted,,PASS,5613,6585,1,1.0,126548.76,1087,1065,0,0,0,4.964,0.3323,1.3585,0.5382,0.0,0.9283
OSM_helsinki_disrupted_offset_w_1000m_1000m_0390,400,osm,helsinki_disrupted,industrial_disrupted,,PASS,5613,6585,1,1.0,126548.76,1087,1065,0,0,0,4.964,0.3323,1.3585,0.5382,0.0,0.9283
OSM_helsinki_disrupted_offset_w_1000m_1000m_0510,600,osm,helsinki_disrupted,industrial_disrupted,,PASS,5613,6585,1,1.0,126548.76,1087,1065,0,0,0,4.964,0.3323,1.3585,0.5382,0.0,0.9283
OSM_helsinki_disrupted_offset_w_1000m_1000m_0634,800,osm,helsinki_disrupted,industrial_disrupted,,PASS,5613,6585,1,1.0,126548.76,1087,1065,0,0,0,4.964,0.3323,1.3585,0.5382,0.0,0.9283
OSM_helsinki_disrupted_offset_w_1000m_1000m_0748,800,osm,helsinki_disrupted,industrial_disrupted,,PASS,5613,6585,1,1.0,126548.76,1087,1065,0,0,0,4.964,0.3323,1.3585,0.5382,0.0,0.9283
OSM_helsinki_disrupted_offset_w_1000m_1500m_0089,100,osm,helsinki_disrupted,industrial_disrupted,,PASS,5626,6717,1,1.0,131505.69,1073,1061,0,0,0,4.6602,0.4642,1.2081,0.631,0.0,0.9235
OSM_helsinki_disrupted_offset_w_1000m_1500m_0196,200,osm,helsinki_disrupted,industrial_disrupted,,PASS,5626,6717,1,1.0,131505.69,1073,1061,0,0,0,4.6602,0.4642,1.2081,0.631,0.0,0.9235
OSM_helsinki_disrupted_offset_w_1000m_1500m_0310,400,osm,helsinki_disrupted,industrial_disrupted,,PASS,5626,6717,1,1.0,131505.69,1073,1061,0,0,0,4.6602,0.4642,1.2081,0.631,0.0,0.9235
OSM_helsinki_disrupted_offset_w_1000m_1500m_0427,600,osm,helsinki_disrupted,industrial_disrupted,,PASS,5626,6717,1,1.0,131505.69,1073,1061,0,0,0,4.6602,0.4642,1.2081,0.631,0.0,0.9235
OSM_helsinki_disrupted_offset_w_1000m_1500m_0542,600,osm,helsinki_disrupted,industrial_disrupted,,PASS,5626,6717,1,1.0,131505.69,1073,1061,0,0,0,4.6602,0.4642,1.2081,0.631,0.0,0.9235
OSM_helsinki_disrupted_offset_w_1000m_1500m_0665,800,osm,helsinki_disrupted,industrial_disrupted,,PASS,5626,6717,1,1.0,131505.69,1073,1061,0,0,0,4.6602,0.4642,1.2081,0.631,0.0,0.9235
OSM_helsinki_disrupted_offset_w_1000m_1500m_0777,800,osm,helsinki_disrupted,industrial_disrupted,,PASS,5626,6717,1,1.0,131505.69,1073,1061,0,0,0,4.6602,0.4642,1.2081,0.631,0.0,0.9235
OSM_helsinki_disrupted_offset_w_1000m_200m_0005,100,osm,helsinki_disrupted,industrial_disrupted,,PASS,4111,4855,1,1.0,111300.75,1059,1071,0,0,0,4.6744,0.3217,1.7309,0.5363,0.0,0.9182
