scenario,family,scenario_base,traffic_profile_id,Scenario.endTime,map_dataset,final_coverage_pct,cells_visited_pct,time_to_50pct,time_to_80pct,time_to_90pct,map_name,grid_size,world_width,world_height,world_total_cells,world_visited_cells,coverage_world_pct,map_bbox_total_cells,map_bbox_visited_cells,coverage_map_bbox_pct,road_total_cells,road_visited_cells,coverage_road_cells_pct,road_buffer_10m_total_cells,road_buffer_10m_visited_cells,coverage_road_buffer_10m_pct,road_buffer_15m_total_cells,road_buffer_15m_visited_cells,coverage_road_buffer_15m_pct,road_buffer_25m_total_cells,road_buffer_25m_visited_cells,coverage_road_buffer_25m_pct,world_x,world_y,source_file,delivery_ratio,latency_mean,overhead_ratio,drop_ratio
S1_StrongCommunities_SeparateClusters__TP12_GroupToGroup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,output_metrics.csv,0.0,,,1.0
S6_FamilyGroups_SmallPersistent__TP01_Baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,output_metrics.csv,0.0657,113.8406,37.9375,0.0
S6_FamilyGroups_SmallPersistent__TP02_LowLoad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,output_metrics.csv,0.0737,176.2857,33.8571,0.0
S6_FamilyGroups_SmallPersistent__TP03_ManySmall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,output_metrics.csv,0.066,232.773,37.9189,0.0
S6_FamilyGroups_SmallPersistent__TP04_FewLarge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,output_metrics.csv,0.0663,289.2,37.9167,0.0
S6_FamilyGroups_SmallPersistent__TP05_CriticalTTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,output_metrics.csv,0.0575,48.6964,31.2857,2.7741273100616017
S6_FamilyGroups_SmallPersistent__TP06_OneToMany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,output_metrics.csv,0.0742,333.8694,296.0,19.28659793814433
S6_FamilyGroups_SmallPersistent__TP07_BurstWindow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,output_metrics.csv,0.064,167.2208,39.2083,0.0
S6_FamilyGroups_SmallPersistent__TP08_HubTarget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,output_metrics.csv,0.0134,290.5,188.5385,0.0
S6_FamilyGroups_SmallPersistent__TP09_Bimodal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,output_metrics.csv,0.0725,208.8286,34.4286,0.0
S6_FamilyGroups_SmallPersistent__TP10_Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,output_metrics.csv,0.065,258.0012,38.5199,3.225566343042072
S6_FamilyGroups_SmallPersistent__TP11_ManyToOne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,output_metrics.csv,0.0732,401.6296,34.1127,0.0
S6_FamilyGroups_SmallPersistent__TP12_GroupToGroup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,output_metrics.csv,0.0,,,1.0
