set,n_features,max_abs_r,mean_abs_r,pairs_r_above_threshold,total_pairs,pct_above,silhouette
reduced_17,17,0.9999999999999999,0.3070159287310978,245,2415,10.144927536231885,0.38393592747934546
core_24,24,0.9999999999999999,0.28340450141872153,207,2415,8.571428571428571,0.4145721809777339
full_46,46,0.9568033339109351,0.23625466567949377,92,2415,3.8095238095238093,0.3329278833570864
