map_id,validation_status,reason,source_type,archetype
OSM_dieselnet_amherst_offset_e_500m_1500m_1905,FAIL,osm_download_failed,osm,bus_route_urban_suburban
OSM_dieselnet_amherst_offset_e_500m_200m_1774,FAIL,osm_download_failed,osm,bus_route_urban_suburban
OSM_dieselnet_amherst_offset_e_500m_500m_1609,FAIL,osm_download_failed,osm,bus_route_urban_suburban
OSM_helsinki_archipelago_offset_s_1000m_1000m_1225,FAIL,osm_download_failed,osm,island_or_partitioned
OSM_helsinki_archipelago_offset_s_1000m_1000m_1341,FAIL,osm_download_failed,osm,island_or_partitioned
OSM_helsinki_archipelago_offset_s_1000m_1000m_1462,FAIL,osm_download_failed,osm,island_or_partitioned
OSM_helsinki_archipelago_offset_s_1000m_1000m_1569,FAIL,osm_download_failed,osm,island_or_partitioned
OSM_helsinki_archipelago_offset_s_1000m_1000m_1719,FAIL,osm_download_failed,osm,island_or_partitioned
OSM_helsinki_archipelago_offset_s_1000m_1000m_1823,FAIL,osm_download_failed,osm,island_or_partitioned
OSM_helsinki_archipelago_offset_s_1000m_1000m_1937,FAIL,osm_download_failed,osm,island_or_partitioned
OSM_helsinki_archipelago_offset_s_1000m_1500m_1259,FAIL,osm_download_failed,osm,island_or_partitioned
OSM_helsinki_archipelago_offset_s_1000m_1500m_1377,FAIL,osm_download_failed,osm,island_or_partitioned
OSM_helsinki_archipelago_offset_s_1000m_1500m_1492,FAIL,osm_download_failed,osm,island_or_partitioned
OSM_helsinki_archipelago_offset_s_1000m_1500m_1616,FAIL,osm_download_failed,osm,island_or_partitioned
OSM_helsinki_archipelago_offset_s_1000m_1500m_1748,FAIL,osm_download_failed,osm,island_or_partitioned
OSM_helsinki_archipelago_offset_s_1000m_1500m_1859,FAIL,osm_download_failed,osm,island_or_partitioned
OSM_helsinki_archipelago_offset_s_1000m_1500m_1968,FAIL,osm_download_failed,osm,island_or_partitioned
OSM_helsinki_archipelago_offset_s_1000m_200m_1282,FAIL,osm_download_failed,osm,island_or_partitioned
OSM_helsinki_archipelago_offset_s_1000m_200m_1404,FAIL,osm_download_failed,osm,island_or_partitioned
OSM_helsinki_archipelago_offset_s_1000m_200m_1515,FAIL,osm_download_failed,osm,island_or_partitioned
OSM_helsinki_archipelago_offset_s_1000m_200m_1656,FAIL,osm_download_failed,osm,island_or_partitioned
OSM_helsinki_archipelago_offset_s_1000m_200m_1776,FAIL,osm_download_failed,osm,island_or_partitioned
OSM_helsinki_archipelago_offset_s_1000m_200m_1887,FAIL,osm_download_failed,osm,island_or_partitioned
OSM_helsinki_archipelago_offset_s_1000m_200m_1996,FAIL,osm_download_failed,osm,island_or_partitioned
OSM_helsinki_archipelago_offset_s_1000m_500m_1307,FAIL,osm_download_failed,osm,island_or_partitioned
OSM_helsinki_archipelago_offset_s_1000m_500m_1433,FAIL,osm_download_failed,osm,island_or_partitioned
OSM_helsinki_archipelago_offset_s_1000m_500m_1541,FAIL,osm_download_failed,osm,island_or_partitioned
OSM_helsinki_archipelago_offset_s_1000m_500m_1688,FAIL,osm_download_failed,osm,island_or_partitioned
OSM_helsinki_archipelago_offset_s_1000m_500m_1800,FAIL,osm_download_failed,osm,island_or_partitioned
OSM_helsinki_archipelago_offset_s_1000m_500m_1906,FAIL,osm_download_failed,osm,island_or_partitioned
OSM_helsinki_disrupted_offset_w_1000m_1000m_1227,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_helsinki_disrupted_offset_w_1000m_1000m_1345,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_helsinki_disrupted_offset_w_1000m_1000m_1463,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_helsinki_disrupted_offset_w_1000m_1000m_1571,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_helsinki_disrupted_offset_w_1000m_1000m_1721,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_helsinki_disrupted_offset_w_1000m_1000m_1824,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_helsinki_disrupted_offset_w_1000m_1000m_1940,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_helsinki_disrupted_offset_w_1000m_1500m_1261,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_helsinki_disrupted_offset_w_1000m_1500m_1379,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_helsinki_disrupted_offset_w_1000m_1500m_1493,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_helsinki_disrupted_offset_w_1000m_1500m_1619,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_helsinki_disrupted_offset_w_1000m_1500m_1749,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_helsinki_disrupted_offset_w_1000m_1500m_1860,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_helsinki_disrupted_offset_w_1000m_1500m_1969,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_helsinki_disrupted_offset_w_1000m_200m_1285,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_helsinki_disrupted_offset_w_1000m_200m_1405,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_helsinki_disrupted_offset_w_1000m_200m_1518,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_helsinki_disrupted_offset_w_1000m_200m_1658,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_helsinki_disrupted_offset_w_1000m_200m_1778,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_helsinki_disrupted_offset_w_1000m_200m_1888,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_helsinki_disrupted_offset_w_1000m_200m_1998,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_helsinki_disrupted_offset_w_1000m_500m_1308,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_helsinki_disrupted_offset_w_1000m_500m_1436,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_helsinki_disrupted_offset_w_1000m_500m_1543,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_helsinki_disrupted_offset_w_1000m_500m_1689,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_helsinki_disrupted_offset_w_1000m_500m_1801,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_helsinki_disrupted_offset_w_1000m_500m_1909,FAIL,osm_download_failed,osm,industrial_disrupted
OSM_helsinki_downtown_exact_1000m_0m_1286,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_helsinki_downtown_exact_1000m_0m_1406,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_helsinki_downtown_exact_1000m_0m_1519,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_helsinki_downtown_exact_1000m_0m_1662,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_helsinki_downtown_exact_1000m_0m_1783,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_helsinki_downtown_exact_1000m_0m_1889,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_helsinki_downtown_exact_1000m_0m_1999,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_helsinki_downtown_exact_1500m_0m_1263,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_helsinki_downtown_exact_1500m_0m_1381,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_helsinki_downtown_exact_1500m_0m_1494,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_helsinki_downtown_exact_1500m_0m_1621,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_helsinki_downtown_exact_1500m_0m_1750,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_helsinki_downtown_exact_1500m_0m_1861,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_helsinki_downtown_exact_1500m_0m_1972,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_helsinki_downtown_exact_2500m_0m_1236,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_helsinki_downtown_exact_2500m_0m_1346,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_helsinki_downtown_exact_2500m_0m_1464,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_helsinki_downtown_exact_2500m_0m_1573,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_helsinki_downtown_exact_2500m_0m_1722,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_helsinki_downtown_exact_2500m_0m_1826,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_helsinki_downtown_exact_2500m_0m_1941,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_helsinki_downtown_exact_500m_0m_1201,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_helsinki_downtown_exact_500m_0m_1309,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_helsinki_downtown_exact_500m_0m_1437,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_helsinki_downtown_exact_500m_0m_1544,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_helsinki_downtown_exact_500m_0m_1690,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_helsinki_downtown_exact_500m_0m_1802,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_helsinki_downtown_exact_500m_0m_1911,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_kallio_community_offset_n_1000m_1000m_1465,FAIL,osm_download_failed,osm,compact_residential
OSM_kallio_community_offset_n_1000m_1500m_1310,FAIL,osm_download_failed,osm,compact_residential
OSM_kallio_community_offset_n_1000m_1500m_1912,FAIL,osm_download_failed,osm,compact_residential
OSM_kallio_community_offset_n_1000m_200m_1784,FAIL,osm_download_failed,osm,compact_residential
OSM_kallio_community_offset_n_1000m_500m_1623,FAIL,osm_download_failed,osm,compact_residential
OSM_kallio_community_offset_n_1500m_1000m_1691,FAIL,osm_download_failed,osm,compact_residential
OSM_kallio_community_offset_n_1500m_1500m_1521,FAIL,osm_download_failed,osm,compact_residential
OSM_kallio_community_offset_n_1500m_200m_1385,FAIL,osm_download_failed,osm,compact_residential
OSM_kallio_community_offset_n_1500m_200m_1974,FAIL,osm_download_failed,osm,compact_residential
OSM_kallio_community_offset_n_1500m_500m_1239,FAIL,osm_download_failed,osm,compact_residential
OSM_kallio_community_offset_n_1500m_500m_1827,FAIL,osm_download_failed,osm,compact_residential
