,U11_OfficeWaitHeavyTail_HelsinkiMedium,U12_HighTimeVariance_HelsinkiMedium,U1_CBD_Commuting_HelsinkiMedium,U5_SparseSuburb_HelsinkiMedium,U7_MicroMobility_HelsinkiMedium,U8_CongestionHotspot_HelsinkiMedium,U9_WorkdayShort_HelsinkiMedium,C1_Campus_ClassChange,C2_ExamDay_LongStays,C3_Hackathon_24h,C4_Stadium_IngressEgress,C7_Library_Quiet,C8_EmergencyDrill_Evacuation,V1_TaxiLow_HelsinkiMedium,V2_TaxiHigh_HelsinkiMedium,V3_BusOnlyCarriers_HelsinkiMedium,V6_CarOwnership_0_HelsinkiMedium,V7_CarOwnership_100_HelsinkiMedium,R10_TinyRange_5m,R11_SpeedExtremeLow,R12_SpeedExtremeHigh,R1_Rural_RandomWaypoint,R2_VillagesTrails_ThreeClusters,R3_WildlifeTracking,R4_ParkRangers_HelsinkiMedium,R5_MountainRescue,R6_SparseLongRange,R7_SparseTinyBuffer,R8_IntermittentPower,R9_ExtremeRange_200m,D1_ShelterHotspots_Clusters,D2_PartitionedCity_MuleBridge,D3_Aftershock_ErraticMobility,D4_MedicalTriage_TwoClasses,D5_UAVMule_FastRoute_HelsinkiMedium,D6_ShortTtlCritical_5to10min,D7_HighLoad_TrafficStorm,D8_InfrastructureReturns_BackboneLinks,D9_Critical_1minTTL,S1_StrongCommunities_SeparateClusters,S2_WeakCommunities_HighMixing,S3_PeriodicMeetings_RegularRhythm,S4_RandomMixing_NoHotspots,S5_TwoLayer_StudentsStaff,S6_FamilyGroups_SmallPersistent,T10_HighRateLowSpeed_Congestion,T11_TTL_1min,T12_TTL_Infinite_Buffer200M,T13_Buffer_256k,T14_Buffer_200M,T15_TransmitSpeed_256k,T1_ManySmallMsgs_HighRate,T2_FewHugeMsgs_LowRate,T3_MixedBimodal_SmallAndLarge,T4_VeryShortTtl_5to10min,T5_VeryLongTtl_6to24h,T6_UniformSources_RandomFromTo,T7_TargetedToHubs_FewDestinations,T8_BurstTraffic_TimeWindows,T9_BufferStress_SmallBufferHighTraffic
U11_OfficeWaitHeavyTail_HelsinkiMedium,1.0,0.9708011895592222,0.9005942837541955,0.7595541649072195,0.809144810500953,0.8724312832914182,0.8559316237955675,-0.22911061218369833,-0.3508098089361499,-0.3447717652034396,-0.21619978952122923,-0.3953021485453857,-0.0013613344731371621,0.11679683940693432,0.13262592917873342,0.4810339161674365,0.9552084051596355,0.7526462086312451,-0.6417416133076209,-0.43816655527118126,0.09262182852666125,-0.16680177223995032,-0.06919234464696507,-0.42548351499371256,-0.13020093009099723,-0.3677482891042132,-0.14778767854036495,-0.26206083224977067,-0.522535584813069,-0.2606022176979021,-0.1930961573261829,-0.2774040190365075,-0.20015181976566698,-0.18314071350738834,0.0018697429567922695,-0.2422297870654397,-0.2679927167314672,-0.16053682441593298,-0.35477184003391177,0.03821693595937587,-0.20630055079939033,-0.3317941115812486,-0.5021782747395483,-0.22990501296241833,-0.04947202066204382,-0.12950753081538197,-0.33458835807779874,-0.10489863435294994,-0.3694911330820453,-0.05095436757196171,-0.13681620011348083,-0.545623764518106,-0.20697796168727955,-0.31427221007889905,-0.35643843950717435,-0.35312000745026806,-0.5036354329981384,-0.22209831999796517,-0.19792806894960466,-0.45914410935424077
U12_HighTimeVariance_HelsinkiMedium,0.9708011895592222,1.0,0.8286807909885168,0.7102011861940826,0.8413797704956752,0.8140411283624306,0.788289233749957,-0.2263784579334266,-0.2800127772572523,-0.32972653317447814,-0.2185051886563105,-0.3717515685258832,-0.01532703472242072,0.1441768364470654,0.10399459052579892,0.4209599667587407,0.9025692014105624,0.7304322421599323,-0.7093617575503302,-0.4824422722138348,0.04774950045696083,-0.19602831519120753,-0.09553643012357069,-0.43711620524697486,-0.15730832911166032,-0.28889233308979073,-0.06869955888421528,-0.13000080977309525,-0.5464723259068373,-0.23791499174794703,-0.21608383468721348,-0.28746267951747245,-0.12594399119055735,-0.1450794644330834,-0.03049056291355882,-0.16403547611628205,-0.31571532686211135,-0.1724278406266271,-0.27939187591236375,0.008526335549557,-0.27203550223095085,-0.27246373947091324,-0.5347850929888734,-0.30305372528565655,-0.06027853040526821,-0.02674094335226293,-0.21407887620102237,-0.21551712218261665,-0.27225155523207917,-0.10121309551272106,-0.05206349813762409,-0.5894257271569726,-0.18112640219874776,-0.3393396231780133,-0.19314899914949368,-0.2438577675159225,-0.6235108708451951,-0.2341913702751288,-0.1603898501238189,-0.4237701647039497
U1_CBD_Commuting_HelsinkiMedium,0.9005942837541955,0.8286807909885168,1.0,0.8123763278189895,0.7565386612284282,0.9465246669196912,0.756238004803245,-0.21707001112881108,-0.4509085809215982,-0.3297378789684713,-0.19565314783420407,-0.4647320721884803,0.0022789520450757937,0.03874791020326152,0.1615371102140942,0.5482344651109022,0.943897333631933,0.7646636216844028,-0.46742361985850606,-0.29200058034405596,0.13852163178948712,-0.05613406425438858,-0.027248257008564064,-0.3599088458149772,-0.06507638125890737,-0.38707874333666675,-0.2746809103698357,-0.2409545416417632,-0.4271435235295732,-0.20846905505724098,-0.16222604188714682,-0.2566085428899996,-0.28934610592393023,-0.2502430123996743,0.05624307717748835,-0.3094844116604432,-0.0644533388648885,-0.14564992812226482,-0.2638284927164289,0.07214287793201538,-0.10114430884021955,-0.3036704199950221,-0.25011458993744884,-0.10033497827341205,-0.043052709896054114,-0.35630725283260356,-0.3162882169256042,-0.20130820000212482,-0.2525916088758088,-0.23188211837534695,-0.4094004162012622,-0.2172100448372002,-0.17569375027848141,-0.26218535939936516,-0.4245376961392201,-0.5320443838007928,-0.2595600179136313,-0.198152607306027,-0.2883634624582773,-0.2794559687714106
U5_SparseSuburb_HelsinkiMedium,0.7595541649072195,0.7102011861940826,0.8123763278189895,1.0,0.43581651070333377,0.6560726608298034,0.5989166560422363,-0.2891172489483044,-0.5556400746865967,-0.39070658675788966,-0.3355165985575679,-0.4988439346105943,-0.11404631910323991,0.2550900046377634,0.1846963333232431,0.697013093602055,0.7021107258784923,0.6456767915343005,-0.2733577215605761,0.12853459579096255,0.039175934424103165,0.4159464028995774,0.006894535890064014,-0.09269957344551735,0.12688152145139206,-0.17716959218174028,0.08080326103718544,0.004425343208379045,-0.24641958335962552,-0.16424425786282468,-0.28539819866328814,-0.32140254344501124,-0.2970547673725044,-0.25336185127608757,0.08557352256196311,-0.38330299039918814,-0.26894801757501835,-0.2303194415931609,-0.2581478922589643,-0.09638875598044709,-0.47277836668394496,-0.5046131154492889,-0.35398579182552076,-0.32799448448245194,-0.03875908452227516,-0.1965030056625445,-0.3483887185708921,-0.14101618136361954,-0.19067612311312046,-0.22387484764460366,-0.1912950150999455,-0.3169000113232827,-0.15934429541304038,-0.23670151296717817,-0.42251878325243775,-0.4514078341676273,-0.3101396170208231,-0.1787098496067895,-0.23755623236929596,-0.2807738971729473
U7_MicroMobility_HelsinkiMedium,0.809144810500953,0.8413797704956752,0.7565386612284282,0.43581651070333377,1.0,0.7936853067246115,0.7301478686924036,-0.15548165407593845,-0.1545894717386387,-0.22821296868162383,-0.0588930894659839,-0.3511455839116319,0.04788358272499616,-0.08481161663320418,-0.017312361649636652,0.09222285239803661,0.8216156147817525,0.6191012366590288,-0.7346410956358947,-0.565728442466562,-0.02493293960355473,-0.29025391434929354,-0.15351638066081508,-0.48351479250565044,-0.3154645102020647,-0.2746414535549683,-0.24390099641380333,0.004174692311234232,-0.6280004870282497,-0.2362752411728941,-0.049074916396220504,-0.15433265216575376,0.025334414861884116,-0.08366519137241565,-0.003224831944013029,0.048149918343901026,0.0047773565098194574,-0.05253028155149583,-0.03286070909523379,0.21610826605240244,0.03370356685954655,-0.020755929399682477,-0.21343642280580954,-0.022996773597788556,-0.07577083873073867,-0.12477033122263247,-0.07420215711159854,-0.429373332726241,-0.08018631247253934,-0.26503909758579647,-0.2947154522821334,-0.3887904236340936,-0.20463941082100096,-0.29750745548701674,0.010696793095175159,-0.24515751710910977,-0.5602325094557441,-0.20723495955774487,-0.14832949231424555,-0.22232047322708104
U8_CongestionHotspot_HelsinkiMedium,0.8724312832914182,0.8140411283624306,0.9465246669196912,0.6560726608298034,0.7936853067246115,1.0,0.7971794879774184,-0.18748438342688487,-0.26007633468805996,-0.2181817292437045,-0.1225957482784252,-0.40854934863928366,0.021201593899101603,-0.06454352838229027,0.1392094884687307,0.45344813479841894,0.9380240006981253,0.7037404258419645,-0.5491647164279576,-0.46619300150897397,0.13804164578924324,-0.2552886356195418,-0.07081456872883639,-0.43312852594380585,-0.1285358520501753,-0.24277480701717008,-0.42015989057992026,-0.20636413897660874,-0.5740873717113576,-0.22753148535752932,-0.16573281287561123,-0.21304303354540727,-0.12464026041305677,-0.15680181214529604,-0.013373101106562294,-0.09811583859606572,-0.1573448584827186,-0.10852552584193323,-0.08692321026966011,0.04737388306629226,-0.10260679983051126,-0.04950055696487629,-0.3475500792545066,-0.1710377048010984,-0.043504457583437336,-0.4755671354300182,-0.12077756571055567,-0.20213742916582203,-0.10664406936535074,-0.11425355102760942,-0.5348542592962885,-0.22610016364064037,-0.16974509928832213,-0.2835035838911902,-0.2501903808291589,-0.3710466867509737,-0.2865452036691949,-0.20415251591310596,-0.23831926108893814,-0.39634926506634105
U9_WorkdayShort_HelsinkiMedium,0.8559316237955675,0.788289233749957,0.756238004803245,0.5989166560422363,0.7301478686924036,0.7971794879774184,1.0,-0.18476570455030344,-0.23311995999846416,-0.2374779175775874,-0.13457828014828685,-0.3622526977195457,0.0008032492133080236,0.03781931369835836,0.10260634459265734,0.37017784919434593,0.8740331417669208,0.5540856792890085,-0.649839409327853,-0.43858399364651157,0.05046758868533479,-0.1863479753367461,-0.07109470317848782,-0.3773657229471778,-0.14200208776673484,-0.254564149426883,-0.1902591343853081,-0.14368124299064508,-0.5907149768741887,-0.21752030698618793,-0.16914365698031905,-0.24203236515090593,-0.0746368966926127,-0.08988268151603318,-0.019454527852019347,-0.12786586107635653,-0.29725425262342225,-0.14079589729150696,-0.1822297746865394,0.02237594532405841,-0.2426656010965302,-0.15876988977486187,-0.4957659745716271,-0.26377272787700334,-0.03531896482064634,-0.25774671560529105,-0.18558370650371442,-0.17647209247653303,-0.19972922378024294,-0.0609968421295208,-0.2842502604279542,-0.49606412463931787,-0.13820520822310112,-0.2884445422523352,-0.2263192597805023,-0.263814819038669,-0.4948696258369697,-0.1910988956687301,-0.13496213169220314,-0.4784597288879695
C1_Campus_ClassChange,-0.22911061218369833,-0.2263784579334266,-0.21707001112881108,-0.2891172489483044,-0.15548165407593845,-0.18748438342688487,-0.18476570455030344,1.0,0.05260734540827818,0.06213137981996931,-0.04136269156479547,0.04739447180095867,-0.025793430610839673,-0.13359996859212614,-0.12852411952548504,-0.1968225411676889,-0.19218465455548508,-0.21556579709216236,0.209081182367167,0.03599472003865847,-0.0011306032474397542,-0.13282821797850516,-0.06546524504427036,0.3888057056506918,-0.03141454900166475,-0.0379070149347861,-0.048984141825131416,-0.13656129649611776,0.10463185511193232,-0.0010159006322691035,-0.02701695404871418,0.059329283827759136,-0.06492179823188127,-0.09172150248559549,-0.08927604518687915,-0.023424703877045185,0.015160530265462317,0.0019162245851227333,-0.05121917566300551,-0.045300164118954704,0.189314112797899,0.10894144203752254,0.19074639548768668,0.10974088154884898,-0.057505041866106936,0.053230547357337496,0.03741924722234942,0.06194653913564836,0.017858736311721617,0.026830726224602565,0.13676328907445798,0.07938161002110675,0.23760164802897815,-0.026574412997422508,0.13920828017104506,0.2674047982086353,0.17742326150521331,-0.009858874221470327,-0.09531652845535657,0.05220615078187234
C2_ExamDay_LongStays,-0.3508098089361499,-0.2800127772572523,-0.4509085809215982,-0.5556400746865967,-0.1545894717386387,-0.26007633468805996,-0.23311995999846416,0.05260734540827818,1.0,0.9087313038173706,0.052649209919782544,0.8296642332335452,-0.06568892492216745,-0.34055736884512855,-0.2953788526759208,-0.46408342748826886,-0.3517928453809273,-0.377348145791112,0.22150839856037582,0.08423167481977922,-0.1793389653609765,-0.23509560152272788,-0.17275802380816396,0.4689623046981711,-0.22396017928318518,0.37834258364299855,-0.059796489118229844,0.2584757957873407,-0.05930572106556769,0.013773112705251767,-0.12393095471856262,0.06730601312683294,0.6437304964290497,0.09293639292294954,-0.3059333622098111,0.45761576733164894,-0.17554197839026742,-0.0435739048224373,0.483418539853122,-0.19313184301538944,-0.02742828863995436,0.6292919765681939,0.02319285323861474,-0.13543621069772696,-0.05832849400680473,0.010024483449647723,0.441088459474972,0.05364023303513234,0.3978693455536351,0.2580349564470232,-0.005708737247804266,0.06614918958340348,0.02992527782902562,-0.0513618736984537,0.5333482391734596,0.5030596735962863,0.031971286088196146,-0.011579880362641402,0.07429012733489387,-0.031025071263256442
C3_Hackathon_24h,-0.3447717652034396,-0.32972653317447814,-0.3297378789684713,-0.39070658675788966,-0.22821296868162383,-0.2181817292437045,-0.2374779175775874,0.06213137981996931,0.9087313038173706,1.0,-0.014591002894776535,0.8808972579341232,-0.08375374911663264,-0.27027625990997495,-0.21250504862402333,-0.28778513501782477,-0.3038859573547323,-0.3334658180991429,0.3663172057428428,0.2981856160631588,-0.14630093998636776,-0.08159977627868097,-0.04385677888950133,0.6858796958173916,-0.09034020164581139,0.17424765309223406,-0.07316136970846854,0.14485223351804624,0.026572719879329115,-0.009252562000098667,-0.1374804979312684,0.0034093137410008685,0.4609674877811419,-0.03345586587420639,-0.21704902307572257,0.1475173963377554,-0.1395403994526723,-0.060392025604773296,0.32199112779368216,-0.15207469490445583,-0.07576948792365491,0.4186538137056772,0.11939438249616725,-0.12511180322019472,0.02034510112630138,-0.09222935951314314,0.242221997416944,0.01873567820718568,0.2911880345226874,0.07852296959379408,-0.09048684923694279,0.18863289383639453,0.004797470931372912,-0.025283974296747242,0.2790866292468117,0.22251190119251335,0.14119737636573249,-0.016423016506536204,-0.027822649531491557,0.03902239222164234
