scenario_base,family,map_dataset,movement_models,delivery_mean,delivery_std,p0_count,clean_tp_count,change_map,change_mobility,change_tp,revision_action,benchmark_split_base
S3_PeriodicMeetings_RegularRhythm,06_social,,G1:RandomWaypoint,0.1189,0.0785233660457287,1,11,no,no,si_TP04_06,modificar_tp,main
S4_RandomMixing_NoHotspots,06_social,,G1:RandomWaypoint,0.0426,0.0420352233252066,1,11,no,no,no,mantener,main
S5_TwoLayer_StudentsStaff,06_social,,G1:RandomWaypoint|G2:RandomWaypoint,0.2455,0.1675678713690411,1,11,no,no,no,mantener,main
S6_FamilyGroups_SmallPersistent,06_social,,G1:ClusterMovement|G2:ClusterMovement|G3:ClusterMovement|G4:ClusterMovement|G5:C,0.0503,0.0249040872269204,1,10,no,no,si_TP04_06,modificar_tp,main
T10_HighRateLowSpeed_Congestion,07_traffic,,G1:RandomWaypoint,0.0208,0.0130280117788207,2,0,no,no,si_TP04_06,stress_only,stress
T11_TTL_1min,07_traffic,,G1:RandomWaypoint,0.4493,0.2565989967858704,1,11,no,no,no,stress_only,stress
T12_TTL_Infinite_Buffer200M,07_traffic,,G1:RandomWaypoint,0.0318,0.0231816590903631,2,10,no,no,si_TP04_06,stress_only,stress
T13_Buffer_256k,07_traffic,,G1:RandomWaypoint,0.0043,0.0054773016471008,3,0,no,no,si,stress_only,stress
T14_Buffer_200M,07_traffic,,G1:RandomWaypoint,0.1493,0.0923057514049056,1,11,no,no,no,stress_only,stress
T15_TransmitSpeed_256k,07_traffic,,G1:RandomWaypoint,0.1898,0.1509134028226623,0,12,no,no,no,mantener,stress
T1_ManySmallMsgs_HighRate,07_traffic,,G1:RandomWaypoint,0.0501,0.0296583002332782,1,11,no,no,no,stress_only,stress
T2_FewHugeMsgs_LowRate,07_traffic,,G1:RandomWaypoint,0.0302,0.0237862498477204,3,9,no,no,no,stress_only,stress
T3_MixedBimodal_SmallAndLarge,07_traffic,,G1:RandomWaypoint,0.0338,0.0194597642391274,1,0,no,no,si,stress_only,stress
T4_VeryShortTtl_5to10min,07_traffic,,G1:RandomWaypoint,0.0027,0.0029314775465728,5,0,no,no,si,stress_only,stress
T5_VeryLongTtl_6to24h,07_traffic,,G1:RandomWaypoint,0.1028,0.0661031127493366,1,11,no,no,no,stress_only,stress
T6_UniformSources_RandomFromTo,07_traffic,,G1:RandomWaypoint,0.0293,0.0140870319690476,1,0,no,no,si,stress_only,stress
T7_TargetedToHubs_FewDestinations,07_traffic,,G1:RandomWaypoint,0.0421,0.0307322454287171,1,11,no,no,no,stress_only,stress
T8_BurstTraffic_TimeWindows,07_traffic,,G1:RandomWaypoint,0.033,0.0200281771209433,2,10,no,no,si_TP04_06,stress_only,stress
T9_BufferStress_SmallBufferHighTraffic,07_traffic,,G1:RandomWaypoint,0.0116,0.0108645238638367,4,0,no,no,si,stress_only,stress
