feature,mean,std
world_area,4989192.711111112,2347125.625417616
aspect_ratio,0.9380669096045461,0.028888128281929222
N,54.84444444444444,28.90580098976011
density,15.600394948320421,11.936617817324496
speed_mean,3.4688888888888885,4.023996281431513
pause_ratio,0.5905859048199152,0.2789672984465169
wait_mean,293.1777777777778,481.77507075423415
mm_WDM,0.2,0.4003708855687833
mm_RWP,0.0,0.0
mm_MapRoute,0.08888888888888889,0.2848471690386588
mm_Cluster,0.13333333333333333,0.3402498263649416
mm_Bus,0.2222222222222222,0.41612518928823955
mm_ShortestPath,0.6222222222222222,0.48528119219462384
mm_External,0.0,0.0
mm_Linear,0.0,0.0
transmitRange,22.68888888888889,40.38744944874143
contact_rate_proxy,0.01269488787760334,0.025512313579155763
event_interval_mean,101.875,120.73144281746426
event_size_mean,183791.66666666666,329467.99702270346
msgTtl,7805.4537037037035,5463.558726589441
pattern_uniform,0.5851851851851851,0.49314687791148304
pattern_burst,0.08333333333333333,0.2766416675862441
pattern_hub_target,0.3314814814814815,0.47118217648932226
nrof_event_generators,1.0833333333333333,0.2766416675862441
bufferSize,44344444.44444445,13516356.705030126
transmitSpeed,1975555.5555555555,422900.43068474845
workDayLength,27000.0,4841.1785079456
timeDiffSTD,2000.0,635.4040586563871
probGoShoppingAfterWork,0.3111111111111111,0.07404637765356052
nrOfMeetingSpots,9.555555555555555,1.578674075927717
nrOfOffices,9.222222222222221,2.9109311653182703
officeSize,43.333333333333336,6.697746866231371
nrOfShops,14.222222222222221,2.2101437062988034
ownCarProb,0.1111111111111111,0.31573481518554336
shopSize,25.0,0.0
officeWaitTime_mean,700.0,284.16133366698904
shoppingWaitTime_mean,330.0,0.0
eveningGroupSize_mean,3.0,0.0
eveningWaitTime_mean,1050.0,0.0
afterShoppingStopTime_mean,330.0,0.0
clusterRange_mean,105.16666666666667,68.87445201847395
event2_interval_mean,450.0,0.0
event2_size_mean,3000000.0,0.0
Scenario.endTime,40720.0,11958.697008340469
nrofHostGroups,1.7777777777777777,1.7257911166635949
has_active_times,0.022222222222222223,0.14754222271266348
