feature,mean,std
world_size_x,1614.7568940493468,1421.1303166982364
world_size_y,1341.789550072569,1326.0604259397398
world_area,3701397.978229318,7245591.463647959
bbox_width,1564.3827503628447,1421.0998079450364
bbox_height,1291.426320754717,1325.9792971259808
useful_area,3554856.0293105952,7122891.67449738
useful_area_ratio,0.8369327067704272,0.1712614741655204
n_nodes,2617.611030478955,7514.514390018049
n_edges,3009.5036284470248,8712.680488100243
total_road_length_m,91618.87101596517,221302.34968247064
road_density,0.0013906387996818472,0.0021760802550469488
avg_edge_length_m,76.42922764876633,126.24340890497932
median_edge_length_m,65.69197714078375,123.73822183528556
avg_degree,3.592287010159652,3.3345009603818867
max_degree,7.015239477503629,5.369961605283143
dead_end_ratio,0.08927438316400581,0.17014279613952332
intersection_ratio,0.5008378809869376,0.3664822055079896
n_components,1.1872278664731495,0.8240291866624905
largest_component_ratio,0.9608750362844702,0.16474757698619308
bridge_edges_count,389.97968069666183,1197.7236904955807
bridge_edges_ratio,0.20890261393323656,0.32685473168412427
articulation_points_count,367.09361393323655,1133.912579509915
articulation_points_ratio,0.15703252177068214,0.20618817665444014
graph_diameter_approx,3712.6879825834544,3691.6192689124055
avg_shortest_path_approx,985.2755732946299,916.8352438669992
circuity_approx,1.486160449927431,0.6821952013776346
orientation_entropy,3.478285050798258,1.6563505351412584
gridness_score,0.5178587808417997,0.2968360304909814
corridor_score,64.55928969521045,409.827196907627
radial_score,0.5919521044992744,0.10363625934845122
partition_score,0.054426705370101594,0.22685775083222912
community_score,0.8441372278664732,0.1317105188809811
tree_like_score,0.4050929608127722,0.185411659829331
