feature_set,threshold,n_seeds,min_selected,max_selected,mean_selected,std_selected,best_seed,worst_seed
core23,0.7,100,90,104,96.54,2.829911659398576,91,27
full46,0.7,100,142,158,150.03,3.5761851182510114,59,34
