feature_set,threshold,policy,shuffle_seed,manifest_scenarios,duplicates_removed,unique_vectors,selected,retention_manifest_pct,retention_unique_pct,max_abs_r,pairs_above_threshold,elapsed_s,out_dir
core23,0.7,strict,26,100800,85248,15552,93,0.09226190476190477,0.5979938271604939,0.6992844044489672,0,4.155655384063721,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_026
core23,0.7,strict,27,100800,85248,15552,90,0.08928571428571429,0.5787037037037037,0.6996227892724483,0,4.576672554016113,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_027
core23,0.7,strict,28,100800,85248,15552,92,0.09126984126984126,0.5915637860082305,0.699751165152063,0,4.0166847705841064,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_028
core23,0.7,strict,29,100800,85248,15552,96,0.09523809523809523,0.6172839506172839,0.6996932982359975,0,3.9016339778900146,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_029
core23,0.7,strict,30,100800,85248,15552,97,0.09623015873015874,0.6237139917695473,0.6999442495099762,0,4.6390380859375,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_030
core23,0.7,strict,31,100800,85248,15552,92,0.09126984126984126,0.5915637860082305,0.6999072115594112,0,4.2803895473480225,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_031
core23,0.7,strict,32,100800,85248,15552,98,0.09722222222222222,0.6301440329218106,0.6995889019442638,0,4.081226587295532,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_032
core23,0.7,strict,33,100800,85248,15552,94,0.09325396825396826,0.6044238683127572,0.6997574011714189,0,4.056837320327759,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_033
core23,0.7,strict,34,100800,85248,15552,97,0.09623015873015874,0.6237139917695473,0.6999609360048925,0,3.8714239597320557,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_034
core23,0.7,strict,35,100800,85248,15552,97,0.09623015873015874,0.6237139917695473,0.699936990791938,0,4.382407903671265,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_035
core23,0.7,strict,36,100800,85248,15552,98,0.09722222222222222,0.6301440329218106,0.6998416058797645,0,3.9117648601531982,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_036
core23,0.7,strict,37,100800,85248,15552,97,0.09623015873015874,0.6237139917695473,0.6989002639450966,0,4.3538148403167725,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_037
core23,0.7,strict,38,100800,85248,15552,100,0.0992063492063492,0.6430041152263375,0.6988618213101614,0,4.116692066192627,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_038
core23,0.7,strict,39,100800,85248,15552,97,0.09623015873015874,0.6237139917695473,0.6999213404733756,0,3.898083209991455,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_039
core23,0.7,strict,40,100800,85248,15552,97,0.09623015873015874,0.6237139917695473,0.6998743678719921,0,3.988187789916992,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_040
core23,0.7,strict,41,100800,85248,15552,99,0.09821428571428571,0.6365740740740741,0.6996428846828378,0,4.068963050842285,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_041
core23,0.7,strict,42,100800,85248,15552,97,0.09623015873015874,0.6237139917695473,0.6995849079700187,0,3.920299530029297,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_042
core23,0.7,strict,43,100800,85248,15552,103,0.10218253968253968,0.6622942386831275,0.6999839782158,0,4.224982261657715,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_043
core23,0.7,strict,44,100800,85248,15552,98,0.09722222222222222,0.6301440329218106,0.6988466692822324,0,4.149506568908691,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_044
core23,0.7,strict,45,100800,85248,15552,99,0.09821428571428571,0.6365740740740741,0.6994598649798704,0,5.36138653755188,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_045
core23,0.7,strict,46,100800,85248,15552,98,0.09722222222222222,0.6301440329218106,0.6997946028480894,0,3.9245049953460693,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_046
core23,0.7,strict,47,100800,85248,15552,96,0.09523809523809523,0.6172839506172839,0.6997330555784852,0,3.942108631134033,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_047
core23,0.7,strict,48,100800,85248,15552,97,0.09623015873015874,0.6237139917695473,0.699967651507089,0,4.1510326862335205,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_048
core23,0.7,strict,49,100800,85248,15552,92,0.09126984126984126,0.5915637860082305,0.6994592287243705,0,4.169561147689819,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_049
core23,0.7,strict,50,100800,85248,15552,94,0.09325396825396826,0.6044238683127572,0.6997773584781226,0,4.26633358001709,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_050
core23,0.7,strict,51,100800,85248,15552,98,0.09722222222222222,0.6301440329218106,0.6990995336020057,0,3.969863176345825,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_051
core23,0.7,strict,52,100800,85248,15552,90,0.08928571428571429,0.5787037037037037,0.6999584952440572,0,4.546946287155151,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_052
core23,0.7,strict,53,100800,85248,15552,94,0.09325396825396826,0.6044238683127572,0.6999045556286103,0,4.297011852264404,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_053
core23,0.7,strict,54,100800,85248,15552,97,0.09623015873015874,0.6237139917695473,0.6997751666152789,0,4.318447828292847,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_054
core23,0.7,strict,55,100800,85248,15552,97,0.09623015873015874,0.6237139917695473,0.6998484979368887,0,4.464109897613525,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_055
core23,0.7,strict,56,100800,85248,15552,95,0.09424603174603174,0.6108539094650206,0.6995657863458313,0,4.510457277297974,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_056
core23,0.7,strict,57,100800,85248,15552,96,0.09523809523809523,0.6172839506172839,0.699985653893485,0,4.139467239379883,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_057
core23,0.7,strict,58,100800,85248,15552,95,0.09424603174603174,0.6108539094650206,0.6995656913654018,0,4.384216547012329,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_058
core23,0.7,strict,59,100800,85248,15552,97,0.09623015873015874,0.6237139917695473,0.6998760777044717,0,4.664348363876343,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_059
core23,0.7,strict,60,100800,85248,15552,98,0.09722222222222222,0.6301440329218106,0.6992704546664124,0,4.08419394493103,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_060
core23,0.7,strict,61,100800,85248,15552,96,0.09523809523809523,0.6172839506172839,0.6998781485172992,0,4.063272714614868,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_061
core23,0.7,strict,62,100800,85248,15552,98,0.09722222222222222,0.6301440329218106,0.6999871337963393,0,4.232241153717041,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_062
core23,0.7,strict,63,100800,85248,15552,100,0.0992063492063492,0.6430041152263375,0.699980714970354,0,4.085584402084351,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_063
core23,0.7,strict,64,100800,85248,15552,93,0.09226190476190477,0.5979938271604939,0.6998737865509205,0,4.325176477432251,/home/raul/Documents/the-one/scenarios/scenario_space_v1/pruning/core23_r070/seed_064
