# Escenarios a diversificar (aparecen en pares con |r| >= 0.7)
# Generado por run_analysis.py --phase correlation. Total: 540 escenarios.
# Criterio: trabajar en estos para que su vector de features difiera del resto y baje |r|.

S2_WeakCommunities_HighMixing__TP11_ManyToOne  (# pares con |r|>=0.7: 19)
D8_InfrastructureReturns_BackboneLinks__TP11_ManyToOne  (# pares con |r|>=0.7: 19)
D6_ShortTtlCritical_5to10min__TP08_HubTarget  (# pares con |r|>=0.7: 18)
R3_WildlifeTracking__TP01_Baseline  (# pares con |r|>=0.7: 18)
R10_TinyRange_5m__TP03_ManySmall  (# pares con |r|>=0.7: 18)
C1_Campus_ClassChange__TP10_Storm  (# pares con |r|>=0.7: 18)
C5_Library_Quiet__TP10_Storm  (# pares con |r|>=0.7: 18)
D6_ShortTtlCritical_5to10min__TP11_ManyToOne  (# pares con |r|>=0.7: 18)
U4_CongestionHotspot_HelsinkiDowntown__TP05_CriticalTTL  (# pares con |r|>=0.7: 18)
D4_MedicalTriage_TwoClasses__TP02_LowLoad  (# pares con |r|>=0.7: 18)
S3_PeriodicMeetings_RegularRhythm__TP03_ManySmall  (# pares con |r|>=0.7: 18)
S3_PeriodicMeetings_RegularRhythm__TP10_Storm  (# pares con |r|>=0.7: 18)
C5_Library_Quiet__TP03_ManySmall  (# pares con |r|>=0.7: 18)
D6_ShortTtlCritical_5to10min__TP06_OneToMany  (# pares con |r|>=0.7: 18)
R3_WildlifeTracking__TP10_Storm  (# pares con |r|>=0.7: 18)
U3_MicroMobility_HelsinkiDowntown__TP06_OneToMany  (# pares con |r|>=0.7: 17)
R1_Rural_SparseSPMM__TP01_Baseline  (# pares con |r|>=0.7: 17)
R5_MountainRescue__TP11_ManyToOne  (# pares con |r|>=0.7: 17)
C2_ExamDay_LongStays__TP10_Storm  (# pares con |r|>=0.7: 17)
R3_WildlifeTracking__TP05_CriticalTTL  (# pares con |r|>=0.7: 17)
R5_MountainRescue__TP06_OneToMany  (# pares con |r|>=0.7: 17)
U3_MicroMobility_HelsinkiDowntown__TP12_GroupToGroup  (# pares con |r|>=0.7: 17)
V1_TaxiLow_ManhattanMidtownGrid__TP12_GroupToGroup  (# pares con |r|>=0.7: 17)
S2_WeakCommunities_HighMixing__TP05_CriticalTTL  (# pares con |r|>=0.7: 17)
R11_SpeedExtremeLow__TP10_Storm  (# pares con |r|>=0.7: 17)
D3_Aftershock_ErraticMobility__TP02_LowLoad  (# pares con |r|>=0.7: 17)
C5_Library_Quiet__TP05_CriticalTTL  (# pares con |r|>=0.7: 17)
S2_WeakCommunities_HighMixing__TP10_Storm  (# pares con |r|>=0.7: 17)
R5_MountainRescue__TP08_HubTarget  (# pares con |r|>=0.7: 17)
D4_MedicalTriage_TwoClasses__TP04_FewLarge  (# pares con |r|>=0.7: 17)
U3_MicroMobility_HelsinkiDowntown__TP08_HubTarget  (# pares con |r|>=0.7: 17)
