# Escenarios a diversificar (core 23) — aparecen en pares con |r| >= 0.7 en espacio de 23 features
# Referencia para investigación. Total: 540 escenarios.

D1_ShelterHotspots_Clusters__TP01_Baseline  (# pares |r|>=0.7 en core23: 33)
D8_InfrastructureReturns_BackboneLinks__TP03_ManySmall  (# pares |r|>=0.7 en core23: 33)
D2_PartitionedCity_MuleBridge__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 33)
U5_WorkdayShort_HelsinkiDowntown__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 32)
D2_PartitionedCity_MuleBridge__TP06_OneToMany  (# pares |r|>=0.7 en core23: 32)
D2_PartitionedCity_MuleBridge__TP08_HubTarget  (# pares |r|>=0.7 en core23: 32)
S5_TwoLayer_StudentsStaff__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 32)
D1_ShelterHotspots_Clusters__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 32)
S1_StrongCommunities_SeparateClusters__TP03_ManySmall  (# pares |r|>=0.7 en core23: 32)
D2_PartitionedCity_MuleBridge__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 32)
S3_PeriodicMeetings_RegularRhythm__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 31)
D6_ShortTtlCritical_5to10min__TP06_OneToMany  (# pares |r|>=0.7 en core23: 31)
C1_Campus_ClassChange__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 31)
R11_SpeedExtremeLow__TP03_ManySmall  (# pares |r|>=0.7 en core23: 31)
U5_WorkdayShort_HelsinkiDowntown__TP03_ManySmall  (# pares |r|>=0.7 en core23: 31)
C1_Campus_ClassChange__TP06_OneToMany  (# pares |r|>=0.7 en core23: 31)
U5_WorkdayShort_HelsinkiDowntown__TP10_Storm  (# pares |r|>=0.7 en core23: 31)
D3_Aftershock_ErraticMobility__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 31)
U5_WorkdayShort_HelsinkiDowntown__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 31)
U5_WorkdayShort_HelsinkiDowntown__TP08_HubTarget  (# pares |r|>=0.7 en core23: 31)
U5_WorkdayShort_HelsinkiDowntown__TP06_OneToMany  (# pares |r|>=0.7 en core23: 31)
D6_ShortTtlCritical_5to10min__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 31)
U5_WorkdayShort_HelsinkiDowntown__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 31)
C1_Campus_ClassChange__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 31)
R11_SpeedExtremeLow__TP01_Baseline  (# pares |r|>=0.7 en core23: 31)
D6_ShortTtlCritical_5to10min__TP08_HubTarget  (# pares |r|>=0.7 en core23: 31)
D6_ShortTtlCritical_5to10min__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 31)
U5_WorkdayShort_HelsinkiDowntown__TP01_Baseline  (# pares |r|>=0.7 en core23: 31)
C1_Campus_ClassChange__TP08_HubTarget  (# pares |r|>=0.7 en core23: 31)
D1_ShelterHotspots_Clusters__TP10_Storm  (# pares |r|>=0.7 en core23: 30)
D8_InfrastructureReturns_BackboneLinks__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 30)
D8_InfrastructureReturns_BackboneLinks__TP08_HubTarget  (# pares |r|>=0.7 en core23: 30)
C4_Stadium_IngressEgress__TP08_HubTarget  (# pares |r|>=0.7 en core23: 30)
D8_InfrastructureReturns_BackboneLinks__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 30)
D8_InfrastructureReturns_BackboneLinks__TP06_OneToMany  (# pares |r|>=0.7 en core23: 30)
C4_Stadium_IngressEgress__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 30)
C4_Stadium_IngressEgress__TP06_OneToMany  (# pares |r|>=0.7 en core23: 30)
D2_PartitionedCity_MuleBridge__TP10_Storm  (# pares |r|>=0.7 en core23: 29)
D8_InfrastructureReturns_BackboneLinks__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 29)
S1_StrongCommunities_SeparateClusters__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 29)
R1_Rural_RandomWaypoint__TP06_OneToMany  (# pares |r|>=0.7 en core23: 28)
R1_Rural_RandomWaypoint__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 28)
R1_Rural_RandomWaypoint__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 28)
S1_StrongCommunities_SeparateClusters__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 28)
R1_Rural_RandomWaypoint__TP03_ManySmall  (# pares |r|>=0.7 en core23: 28)
S1_StrongCommunities_SeparateClusters__TP06_OneToMany  (# pares |r|>=0.7 en core23: 28)
R1_Rural_RandomWaypoint__TP08_HubTarget  (# pares |r|>=0.7 en core23: 28)
D6_ShortTtlCritical_5to10min__TP02_LowLoad  (# pares |r|>=0.7 en core23: 27)
